atc_A	atc_class_name_A	atc_B	atc_class_name_B	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_N1
C10	Lipid modifying agents	R05	Cough and cold preparations	22930383	26476	0.0012	0.0135	0.739
C10	Lipid modifying agents	G03	Sex hormones and modulators of the genital system	22838039	1871018	0.0819	0.0134	0.263
C09	Agents acting on the renin-angiotensin system	R03	Drugs for obstructive airway diseases	22717621	343427	0.0151	0.0134	0.695
C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	22615987	441841	0.0195	0.0133	0.86
J01	Antibacterials for systemic use	R01	Nasal preparations	22586723	3190890	0.1413	0.0133	1.169
B01	Antithrombotic agents	C03	Diuretics	22493674	159323	0.0071	0.0132	1.864
J01	Antibacterials for systemic use	R03	Drugs for obstructive airway diseases	22191599	3024628	0.1363	0.0131	0.924
C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	21860451	330649	0.0151	0.0129	0.899
C09	Agents acting on the renin-angiotensin system	G03	Sex hormones and modulators of the genital system	21360708	954077	0.0447	0.0126	0.281
C03	Diuretics	J01	Antibacterials for systemic use	21312593	410185	0.0192	0.0125	0.455
C08	Calcium channel blockers	N02	Analgesics	21086346	202988	0.0096	0.0124	1.061
A02	Drugs for acid related disorders	J01	Antibacterials for systemic use	20913804	1283169	0.0614	0.0123	0.669
G03	Sex hormones and modulators of the genital system	H03	Thyroid therapy	20778904	4094542	0.1971	0.0122	0.605
C09	Agents acting on the renin-angiotensin system	M01	Anti-inflammatory and antirheumatic products	20055215	471709	0.0235	0.0118	1.081
C03	Diuretics	G03	Sex hormones and modulators of the genital system	20049613	1124870	0.0561	0.0118	0.323
H03	Thyroid therapy	N05	Psycholeptics	20038658	944509	0.0471	0.0118	1.076
R01	Nasal preparations	R06	Antihistamines for systemic use	19901631	2625997	0.1319	0.0117	3.588
C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	19806341	868936	0.0439	0.0117	0.935
M01	Anti-inflammatory and antirheumatic products	N06	Psychoanaleptics	19682523	1154035	0.0586	0.0116	0.895
A02	Drugs for acid related disorders	R03	Drugs for obstructive airway diseases	19558243	662352	0.0339	0.0115	1.097
J01	Antibacterials for systemic use	N05	Psycholeptics	19374124	842432	0.0435	0.0114	0.64
A10	Drugs used in diabetes	H03	Thyroid therapy	19372115	1080324	0.0558	0.0114	0.81
A02	Drugs for acid related disorders	N03	Antiepileptics	19273473	483188	0.0251	0.0113	1.452
G03	Sex hormones and modulators of the genital system	N05	Psycholeptics	19202960	1619915	0.0844	0.0113	0.478
C03	Diuretics	R05	Cough and cold preparations	18976620	10317	5e-04	0.0112	0.854
A02	Drugs for acid related disorders	G03	Sex hormones and modulators of the genital system	18892796	1744224	0.0923	0.0111	0.456
C03	Diuretics	R03	Drugs for obstructive airway diseases	18790257	183664	0.0098	0.0111	0.703
J01	Antibacterials for systemic use	R06	Antihistamines for systemic use	18785714	1010485	0.0538	0.0111	1.554
G03	Sex hormones and modulators of the genital system	J01	Antibacterials for systemic use	18781302	3452868	0.1838	0.011	0.337
A10	Drugs used in diabetes	N02	Analgesics	18718179	172721	0.0092	0.011	0.571
A02	Drugs for acid related disorders	R01	Nasal preparations	18552034	766704	0.0413	0.0109	1.293
G03	Sex hormones and modulators of the genital system	N02	Analgesics	18539576	941499	0.0508	0.0109	0.394
H03	Thyroid therapy	N02	Analgesics	18184295	372766	0.0205	0.0107	0.833
C01	Cardiac therapy	C07	Beta blocking agents	18025759	368649	0.0205	0.0106	3.796
A02	Drugs for acid related disorders	R05	Cough and cold preparations	18019577	28523	0.0016	0.0106	1.215
R05	Cough and cold preparations	R06	Antihistamines for systemic use	17901331	658626	0.0368	0.0105	3.121
C03	Diuretics	R01	Nasal preparations	17887076	221590	0.0124	0.0105	0.832
C07	Beta blocking agents	J01	Antibacterials for systemic use	17858921	455007	0.0255	0.0105	0.519
C03	Diuretics	N03	Antiepileptics	17835126	189048	0.0106	0.0105	0.897
C01	Cardiac therapy	C10	Lipid modifying agents	17693109	251788	0.0142	0.0104	1.959
C03	Diuretics	G04	Urologicals	17560431	230069	0.0131	0.0103	1.249
C07	Beta blocking agents	G04	Urologicals	17499501	387798	0.0222	0.0103	1.696
C08	Calcium channel blockers	H03	Thyroid therapy	17481431	518811	0.0297	0.0103	1.206
C07	Beta blocking agents	N03	Antiepileptics	17131220	374599	0.0219	0.0101	1.174
C08	Calcium channel blockers	N05	Psycholeptics	17094865	288696	0.0169	0.0101	1.008
H02	Corticosteroids for systemic use	J01	Antibacterials for systemic use	17068627	1742698	0.1021	0.01	1.949
M03	Muscle relaxants	N06	Psychoanaleptics	16912625	490933	0.029	0.0099	1.361
M01	Anti-inflammatory and antirheumatic products	R05	Cough and cold preparations	16536687	221117	0.0134	0.0097	2.556
C03	Diuretics	M01	Anti-inflammatory and antirheumatic products	16228465	296537	0.0183	0.0095	1.069
N06	Psychoanaleptics	R06	Antihistamines for systemic use	16134489	859561	0.0533	0.0095	0.827
G04	Urologicals	N06	Psychoanaleptics	15970114	792398	0.0496	0.0094	0.784
C07	Beta blocking agents	R05	Cough and cold preparations	15924992	10845	7e-04	0.0094	0.976
B01	Antithrombotic agents	C08	Calcium channel blockers	15887657	209642	0.0132	0.0093	2.617
C01	Cardiac therapy	C09	Agents acting on the renin-angiotensin system	15530476	160799	0.0104	0.0091	1.963
A02	Drugs for acid related disorders	G04	Urologicals	15476501	634582	0.041	0.0091	1.65
A02	Drugs for acid related disorders	B01	Antithrombotic agents	15051473	174210	0.0116	0.0089	1.869
A10	Drugs used in diabetes	B01	Antithrombotic agents	14857572	172654	0.0116	0.0087	1.484
C10	Lipid modifying agents	R06	Antihistamines for systemic use	14744208	411255	0.0279	0.0087	0.785
A02	Drugs for acid related disorders	M01	Anti-inflammatory and antirheumatic products	14514910	710832	0.049	0.0085	1.433
A10	Drugs used in diabetes	N05	Psycholeptics	14513212	285187	0.0197	0.0085	0.519
M03	Muscle relaxants	R05	Cough and cold preparations	14490812	4299	3e-04	0.0085	3.963
N03	Antiepileptics	R05	Cough and cold preparations	14106672	8604	6e-04	0.0083	1.664
B01	Antithrombotic agents	N06	Psychoanaleptics	14099504	228881	0.0162	0.0083	0.806
H03	Thyroid therapy	J01	Antibacterials for systemic use	14088829	1046097	0.0743	0.0083	0.544
C09	Agents acting on the renin-angiotensin system	R06	Antihistamines for systemic use	14088768	227554	0.0162	0.0083	0.856
C10	Lipid modifying agents	S01	Ophthalmologicals	14049380	440591	0.0314	0.0083	0.967
C07	Beta blocking agents	G03	Sex hormones and modulators of the genital system	13926975	932284	0.0669	0.0082	0.305
A02	Drugs for acid related disorders	R06	Antihistamines for systemic use	13420224	496098	0.037	0.0079	1.494
C09	Agents acting on the renin-angiotensin system	S01	Ophthalmologicals	13396177	230899	0.0172	0.0079	1.052
N05	Psycholeptics	R03	Drugs for obstructive airway diseases	13357667	323254	0.0242	0.0079	0.773
N05	Psycholeptics	R01	Nasal preparations	13314450	445793	0.0335	0.0078	0.958
N02	Analgesics	R03	Drugs for obstructive airway diseases	13256338	130021	0.0098	0.0078	0.655
C01	Cardiac therapy	C03	Diuretics	13154041	87656	0.0067	0.0077	2.034
C07	Beta blocking agents	S01	Ophthalmologicals	13143931	1093438	0.0832	0.0077	1.72
C07	Beta blocking agents	R03	Drugs for obstructive airway diseases	13119506	165559	0.0126	0.0077	0.669
B01	Antithrombotic agents	C01	Cardiac therapy	12988631	165303	0.0127	0.0076	8.678
C07	Beta blocking agents	R01	Nasal preparations	12983293	244822	0.0189	0.0076	0.823
R03	Drugs for obstructive airway diseases	R06	Antihistamines for systemic use	12892558	943687	0.0732	0.0076	1.87
N02	Analgesics	R01	Nasal preparations	12887041	155866	0.0121	0.0076	0.791
M03	Muscle relaxants	N05	Psycholeptics	12807183	283763	0.0222	0.0075	2.311
H03	Thyroid therapy	N03	Antiepileptics	12805564	496703	0.0388	0.0075	1.165
B01	Antithrombotic agents	N02	Analgesics	12730338	164943	0.013	0.0075	1.392
C08	Calcium channel blockers	G04	Urologicals	12584550	281027	0.0223	0.0074	1.779
G03	Sex hormones and modulators of the genital system	R01	Nasal preparations	12537797	1402683	0.1119	0.0074	0.49
A10	Drugs used in diabetes	J01	Antibacterials for systemic use	12499808	461353	0.0369	0.0074	0.322
N02	Analgesics	R06	Antihistamines for systemic use	12474968	231904	0.0186	0.0073	1.223
A10	Drugs used in diabetes	N03	Antiepileptics	12468441	273733	0.022	0.0073	0.756
C09	Agents acting on the renin-angiotensin system	M04	Antigout preparations	12336106	411002	0.0333	0.0073	2.186
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	R03	Drugs for obstructive airway diseases	12301621	2151130	0.1749	0.0072	3.348
J01	Antibacterials for systemic use	M01	Anti-inflammatory and antirheumatic products	12234834	1340852	0.1096	0.0072	0.897
M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	12134824	449721	0.0371	0.0071	1.237
C10	Lipid modifying agents	M05	Drugs for treatment of bone diseases	12087670	991156	0.082	0.0071	1.527
C08	Calcium channel blockers	J01	Antibacterials for systemic use	11886766	228348	0.0192	0.007	0.504
A10	Drugs used in diabetes	G04	Urologicals	11845141	353584	0.0299	0.007	1.015
C10	Lipid modifying agents	M04	Antigout preparations	11779966	502080	0.0426	0.0069	1.828
R01	Nasal preparations	R05	Cough and cold preparations	11691807	176555	0.0151	0.0069	1.276
H02	Corticosteroids for systemic use	N02	Analgesics	11563219	180918	0.0156	0.0068	1.565
R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	11538257	115146	0.01	0.0068	1.013
C03	Diuretics	R06	Antihistamines for systemic use	11454308	124814	0.0109	0.0067	0.851
C07	Beta blocking agents	M01	Anti-inflammatory and antirheumatic products	11325486	277787	0.0245	0.0067	1.017
G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	11272261	860220	0.0763	0.0066	0.476
C08	Calcium channel blockers	R03	Drugs for obstructive airway diseases	11256562	153265	0.0136	0.0066	0.837
D07	Corticosteroids, dermatological preparations	J01	Antibacterials for systemic use	11256449	1745323	0.1551	0.0066	1.31
C08	Calcium channel blockers	R05	Cough and cold preparations	10941795	6922	6e-04	0.0064	0.978
H02	Corticosteroids for systemic use	N06	Psychoanaleptics	10915184	347227	0.0318	0.0064	0.773
G03	Sex hormones and modulators of the genital system	R05	Cough and cold preparations	10907259	65982	0.006	0.0064	0.412
G04	Urologicals	N02	Analgesics	10900358	142538	0.0131	0.0064	1.023
H03	Thyroid therapy	R03	Drugs for obstructive airway diseases	10874522	416933	0.0383	0.0064	0.736
H03	Thyroid therapy	R01	Nasal preparations	10851173	539035	0.0497	0.0064	0.913
J01	Antibacterials for systemic use	N03	Antiepileptics	10827765	407256	0.0376	0.0064	0.606
M01	Anti-inflammatory and antirheumatic products	M03	Muscle relaxants	10821736	1334324	0.1233	0.0064	4.335
A10	Drugs used in diabetes	R05	Cough and cold preparations	10811764	11760	0.0011	0.0064	0.586
J01	Antibacterials for systemic use	S01	Ophthalmologicals	10760563	939932	0.0873	0.0063	1.15
C10	Lipid modifying agents	M03	Muscle relaxants	10605668	171150	0.0161	0.0062	0.886
C03	Diuretics	S01	Ophthalmologicals	10519224	123503	0.0117	0.0062	1.01
C10	Lipid modifying agents	H02	Corticosteroids for systemic use	10422571	207753	0.0199	0.0061	0.766
C09	Agents acting on the renin-angiotensin system	M03	Muscle relaxants	10412889	101062	0.0097	0.0061	0.993
G03	Sex hormones and modulators of the genital system	R03	Drugs for obstructive airway diseases	10410285	982250	0.0944	0.0061	0.327
C09	Agents acting on the renin-angiotensin system	H02	Corticosteroids for systemic use	10255701	124294	0.0121	0.006	0.86
C08	Calcium channel blockers	R01	Nasal preparations	10254934	144676	0.0141	0.006	0.948
C08	Calcium channel blockers	N03	Antiepileptics	10239665	143955	0.0141	0.006	1.024
C10	Lipid modifying agents	D07	Corticosteroids, dermatological preparations	10224227	386283	0.0378	0.006	0.766
N05	Psycholeptics	R06	Antihistamines for systemic use	10170333	231399	0.0228	0.006	1.17
H03	Thyroid therapy	R05	Cough and cold preparations	10168554	20444	0.002	0.006	0.828
M03	Muscle relaxants	N03	Antiepileptics	9985944	215791	0.0216	0.0059	3.053
H02	Corticosteroids for systemic use	R05	Cough and cold preparations	9852808	42612	0.0043	0.0058	2.371
N06	Psychoanaleptics	S01	Ophthalmologicals	9843296	368441	0.0374	0.0058	0.652
G04	Urologicals	N05	Psycholeptics	9628311	325944	0.0339	0.0057	1.06
C09	Agents acting on the renin-angiotensin system	D07	Corticosteroids, dermatological preparations	9553044	188775	0.0198	0.0056	0.817
A02	Drugs for acid related disorders	M03	Muscle relaxants	9542114	165809	0.0174	0.0056	1.667
A10	Drugs used in diabetes	R03	Drugs for obstructive airway diseases	9470057	157527	0.0166	0.0056	0.427
H02	Corticosteroids for systemic use	R03	Drugs for obstructive airway diseases	9446709	389671	0.0412	0.0056	1.891
A02	Drugs for acid related disorders	H02	Corticosteroids for systemic use	9395077	242790	0.0258	0.0055	1.444
C03	Diuretics	M04	Antigout preparations	9319587	93383	0.01	0.0055	2.019
B01	Antithrombotic agents	H03	Thyroid therapy	9188984	159224	0.0173	0.0054	1.378
B01	Antithrombotic agents	N05	Psycholeptics	9181592	98424	0.0107	0.0054	1.178
G03	Sex hormones and modulators of the genital system	M01	Anti-inflammatory and antirheumatic products	9115110	982762	0.1078	0.0054	0.504
G03	Sex hormones and modulators of the genital system	R06	Antihistamines for systemic use	9077347	717748	0.0791	0.0053	0.566
D07	Corticosteroids, dermatological preparations	N06	Psychoanaleptics	9003077	559511	0.0621	0.0053	0.649
C09	Agents acting on the renin-angiotensin system	M05	Drugs for treatment of bone diseases	8859685	262789	0.0297	0.0052	1.278
C07	Beta blocking agents	M04	Antigout preparations	8771054	173062	0.0197	0.0052	2.589
G04	Urologicals	J01	Antibacterials for systemic use	8755578	767446	0.0877	0.0052	0.693
A10	Drugs used in diabetes	R01	Nasal preparations	8733852	156353	0.0179	0.0051	0.49
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	J01	Antibacterials for systemic use	8721970	1526868	0.1751	0.0051	1.354
C03	Diuretics	M03	Muscle relaxants	8664337	59577	0.0069	0.0051	1.01
C08	Calcium channel blockers	G03	Sex hormones and modulators of the genital system	8631053	365493	0.0423	0.0051	0.276
C01	Cardiac therapy	C08	Calcium channel blockers	8624736	145003	0.0168	0.0051	2.65
C08	Calcium channel blockers	M01	Anti-inflammatory and antirheumatic products	8618941	182790	0.0212	0.0051	1.129
H03	Thyroid therapy	M01	Anti-inflammatory and antirheumatic products	8567095	496681	0.058	0.005	1.021
C03	Diuretics	H02	Corticosteroids for systemic use	8513378	75224	0.0088	0.005	0.873
D07	Corticosteroids, dermatological preparations	R03	Drugs for obstructive airway diseases	8511192	1053962	0.1238	0.005	1.736
J01	Antibacterials for systemic use	S02	Otologicals	8492320	1513588	0.1782	0.005	1.719
M01	Anti-inflammatory and antirheumatic products	N03	Antiepileptics	8473170	290462	0.0343	0.005	1.464
A10	Drugs used in diabetes	M01	Anti-inflammatory and antirheumatic products	8462219	247581	0.0293	0.005	0.672
C07	Beta blocking agents	R06	Antihistamines for systemic use	8446061	137991	0.0163	0.005	0.855
R05	Cough and cold preparations	S01	Ophthalmologicals	8294807	225579	0.0272	0.0049	1.869
A02	Drugs for acid related disorders	S01	Ophthalmologicals	8231178	201228	0.0244	0.0048	1.185
A02	Drugs for acid related disorders	C01	Cardiac therapy	8184724	85005	0.0104	0.0048	1.896
A10	Drugs used in diabetes	G03	Sex hormones and modulators of the genital system	8147452	743683	0.0913	0.0048	0.158
N03	Antiepileptics	R03	Drugs for obstructive airway diseases	8135764	161816	0.0199	0.0048	0.798
H02	Corticosteroids for systemic use	N05	Psycholeptics	8100417	282368	0.0349	0.0048	1.286
N02	Analgesics	S01	Ophthalmologicals	7775075	94759	0.0122	0.0046	0.985
B01	Antithrombotic agents	G04	Urologicals	7723641	102251	0.0132	0.0045	2.374
G04	Urologicals	H03	Thyroid therapy	7685149	332573	0.0433	0.0045	0.989
A10	Drugs used in diabetes	C01	Cardiac therapy	7607326	57649	0.0076	0.0045	1.417
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C10	Lipid modifying agents	7572403	172877	0.0228	0.0045	0.756
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	N06	Psychoanaleptics	7525496	262985	0.0349	0.0044	0.724
A02	Drugs for acid related disorders	D07	Corticosteroids, dermatological preparations	7499188	307844	0.0411	0.0044	1.175
H02	Corticosteroids for systemic use	R01	Nasal preparations	7492170	379925	0.0507	0.0044	1.865
N03	Antiepileptics	R01	Nasal preparations	7487916	168058	0.0224	0.0044	0.914
C03	Diuretics	D07	Corticosteroids, dermatological preparations	7366664	96737	0.0131	0.0043	0.77
C07	Beta blocking agents	H02	Corticosteroids for systemic use	7364117	94257	0.0128	0.0043	1.029
C01	Cardiac therapy	N06	Psychoanaleptics	7340343	97088	0.0132	0.0043	0.783
C03	Diuretics	M05	Drugs for treatment of bone diseases	7213521	162906	0.0226	0.0042	1.273
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C09	Agents acting on the renin-angiotensin system	7114921	83797	0.0118	0.0042	0.811
A02	Drugs for acid related disorders	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	7094811	286823	0.0404	0.0042	1.483
C10	Lipid modifying agents	L01	Antineoplastic agents	7086634	234564	0.0331	0.0042	1.161
H03	Thyroid therapy	R06	Antihistamines for systemic use	7080288	274344	0.0387	0.0042	0.952
C07	Beta blocking agents	M03	Muscle relaxants	7071761	79445	0.0112	0.0042	1.123
C08	Calcium channel blockers	S01	Ophthalmologicals	6883404	108149	0.0157	0.004	1.314
M05	Drugs for treatment of bone diseases	N06	Psychoanaleptics	6826705	407399	0.0597	0.004	0.831
N04	Anti-parkinson drugs	N06	Psychoanaleptics	6671216	327953	0.0492	0.0039	1.226
B01	Antithrombotic agents	N03	Antiepileptics	6633642	86552	0.013	0.0039	1.442
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	R01	Nasal preparations	6524126	590947	0.0906	0.0038	2.207
G04	Urologicals	N03	Antiepileptics	6519225	151663	0.0233	0.0038	1.216
C09	Agents acting on the renin-angiotensin system	L01	Antineoplastic agents	6518896	108827	0.0167	0.0038	1.219
B01	Antithrombotic agents	J01	Antibacterials for systemic use	6506390	108562	0.0167	0.0038	0.6
N05	Psycholeptics	S01	Ophthalmologicals	6495656	139025	0.0214	0.0038	0.965
C07	Beta blocking agents	M05	Drugs for treatment of bone diseases	6347009	200843	0.0316	0.0037	1.525
A02	Drugs for acid related disorders	A03	Drugs for functional gastrointestinal disorders	6338558	387027	0.0611	0.0037	2.957
L01	Antineoplastic agents	N06	Psychoanaleptics	6329774	275335	0.0435	0.0037	0.999
C02	Antihypertensives	C09	Agents acting on the renin-angiotensin system	6325061	94960	0.015	0.0037	1.911
M01	Anti-inflammatory and antirheumatic products	R01	Nasal preparations	6324373	248393	0.0393	0.0037	1.011
G04	Urologicals	R05	Cough and cold preparations	6318375	6385	0.001	0.0037	1.054
B01	Antithrombotic agents	R05	Cough and cold preparations	6277170	2477	4e-04	0.0037	1.22
A10	Drugs used in diabetes	S01	Ophthalmologicals	6227760	128210	0.0206	0.0037	0.721
H03	Thyroid therapy	M05	Drugs for treatment of bone diseases	6202279	586126	0.0945	0.0036	1.98
D07	Corticosteroids, dermatological preparations	N05	Psycholeptics	6156175	250789	0.0407	0.0036	0.996
C08	Calcium channel blockers	R06	Antihistamines for systemic use	6152629	78612	0.0128	0.0036	0.909
D07	Corticosteroids, dermatological preparations	R01	Nasal preparations	6124945	387903	0.0633	0.0036	1.553
C02	Antihypertensives	C10	Lipid modifying agents	6031337	133553	0.0221	0.0035	1.596
C08	Calcium channel blockers	M04	Antigout preparations	6005189	102502	0.0171	0.0035	2.586
G04	Urologicals	R01	Nasal preparations	5985612	189122	0.0316	0.0035	1.033
C01	Cardiac therapy	N02	Analgesics	5962038	39099	0.0066	0.0035	1.216
H03	Thyroid therapy	S01	Ophthalmologicals	5951072	246802	0.0415	0.0035	1.034
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C03	Diuretics	5932319	43543	0.0073	0.0035	0.827
D07	Corticosteroids, dermatological preparations	N02	Analgesics	5893781	77063	0.0131	0.0035	0.813
C07	Beta blocking agents	D07	Corticosteroids, dermatological preparations	5858211	110841	0.0189	0.0034	0.834
B01	Antithrombotic agents	R03	Drugs for obstructive airway diseases	5854284	43877	0.0075	0.0034	0.947
G03	Sex hormones and modulators of the genital system	M03	Muscle relaxants	5823966	254957	0.0438	0.0034	0.57
