atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
C03	Diuretics	C10	Lipid modifying agents	N06	Psychoanaleptics	22718995	322067	0.0142	0.0134	1.23	0.856
N02	Analgesics	N05	Psycholeptics	R05	Cough and cold preparations	22387201	1320513	0.059	0.0132	11.741	2.145
J01	Antibacterials for systemic use	N02	Analgesics	R05	Cough and cold preparations	22332159	4180316	0.1872	0.0131	8.424	1.539
C07	Beta blocking agents	C10	Lipid modifying agents	N06	Psychoanaleptics	21904392	682016	0.0311	0.0129	1.615	0.847
A10	Drugs used in diabetes	C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	21757102	796119	0.0366	0.0128	4.666	1.729
C03	Diuretics	C07	Beta blocking agents	C08	Calcium channel blockers	21577728	604585	0.028	0.0127	6.397	2.77
N02	Analgesics	N05	Psycholeptics	N06	Psychoanaleptics	21169582	768814	0.0363	0.0125	3.266	1.982
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	H03	Thyroid therapy	20997940	855152	0.0407	0.0124	2.437	1.336
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	20780156	307180	0.0148	0.0122	2.456	0.943
A02	Drugs for acid related disorders	C10	Lipid modifying agents	N06	Psychoanaleptics	20629492	764280	0.037	0.0121	1.673	1.212
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	20472562	1455108	0.0711	0.012	3.317	1.274
A10	Drugs used in diabetes	C03	Diuretics	C07	Beta blocking agents	20312957	268981	0.0132	0.0119	3.652	1.689
C09	Agents acting on the renin-angiotensin system	N02	Analgesics	R05	Cough and cold preparations	19936549	290459	0.0146	0.0117	5.526	1.01
A02	Drugs for acid related disorders	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	19870640	288341	0.0145	0.0117	3.632	1.784
B01	Antithrombotic agents	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	19763065	329722	0.0167	0.0116	10.42	2.685
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	N02	Analgesics	19457781	114390	0.0059	0.0114	1.647	0.903
C10	Lipid modifying agents	N02	Analgesics	R05	Cough and cold preparations	19220478	401463	0.0209	0.0113	4.666	0.853
A10	Drugs used in diabetes	C08	Calcium channel blockers	C10	Lipid modifying agents	18932377	373877	0.0197	0.0111	3.556	1.979
C10	Lipid modifying agents	N05	Psycholeptics	N06	Psychoanaleptics	18737533	884662	0.0472	0.011	1.569	1.038
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	18384181	302894	0.0165	0.0108	1.548	0.76
A02	Drugs for acid related disorders	C03	Diuretics	C07	Beta blocking agents	17558915	380108	0.0216	0.0103	3.925	1.815
A10	Drugs used in diabetes	C10	Lipid modifying agents	N06	Psychoanaleptics	17432844	566068	0.0325	0.0103	1.137	0.844
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	N05	Psycholeptics	17363249	336832	0.0194	0.0102	1.723	0.945
N03	Antiepileptics	N05	Psycholeptics	N06	Psychoanaleptics	17188196	2369084	0.1378	0.0101	5.27	2.496
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	17127979	592480	0.0346	0.0101	2.373	0.912
C03	Diuretics	C07	Beta blocking agents	N06	Psychoanaleptics	17099340	493351	0.0289	0.0101	1.76	0.814
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	16958987	305430	0.018	0.01	1.57	1.13
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	16334317	362596	0.0222	0.0096	1.216	0.775
C03	Diuretics	N02	Analgesics	R05	Cough and cold preparations	16018632	157732	0.0098	0.0094	5.43	0.992
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	C10	Lipid modifying agents	16003414	412013	0.0257	0.0094	2.266	1.643
C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	N06	Psychoanaleptics	15969535	398905	0.025	0.0094	1.527	1.01
C03	Diuretics	C10	Lipid modifying agents	H03	Thyroid therapy	15915585	326237	0.0205	0.0094	2.259	1.572
A02	Drugs for acid related disorders	C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	15782078	502958	0.0319	0.0093	4.208	1.559
A02	Drugs for acid related disorders	N05	Psycholeptics	N06	Psychoanaleptics	15602683	712938	0.0457	0.0092	2.733	1.807
A02	Drugs for acid related disorders	N02	Analgesics	R05	Cough and cold preparations	15295005	434735	0.0284	0.009	7.767	1.419
N02	Analgesics	N03	Antiepileptics	N06	Psychoanaleptics	15260122	507610	0.0333	0.009	3.99	2.142
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	15188297	500308	0.0329	0.0089	1.865	0.691
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	15121316	266299	0.0176	0.0089	2.445	1.557
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	G04	Urologicals	15078588	548782	0.0364	0.0089	3.588	1.967
C10	Lipid modifying agents	N02	Analgesics	N06	Psychoanaleptics	14989999	157196	0.0105	0.0088	1.071	1.101
B01	Antithrombotic agents	C03	Diuretics	C09	Agents acting on the renin-angiotensin system	14894176	219136	0.0147	0.0088	5.765	2.214
A10	Drugs used in diabetes	C03	Diuretics	C08	Calcium channel blockers	14706142	115081	0.0078	0.0087	3.857	1.761
C03	Diuretics	C10	Lipid modifying agents	N02	Analgesics	14631983	42334	0.0029	0.0086	1.514	1.054
B01	Antithrombotic agents	C03	Diuretics	C10	Lipid modifying agents	14553033	87999	0.006	0.0086	4.933	2.098
A02	Drugs for acid related disorders	C08	Calcium channel blockers	C10	Lipid modifying agents	14466727	306551	0.0212	0.0085	3.379	1.88
C07	Beta blocking agents	C10	Lipid modifying agents	N02	Analgesics	14460075	99224	0.0069	0.0085	2.039	1.069
C07	Beta blocking agents	C10	Lipid modifying agents	H03	Thyroid therapy	14373864	517975	0.036	0.0085	2.779	1.457
M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	R05	Cough and cold preparations	14139554	1725492	0.122	0.0083	16.465	3.009
A02	Drugs for acid related disorders	C03	Diuretics	N06	Psychoanaleptics	14076947	155401	0.011	0.0083	1.594	1.227
B01	Antithrombotic agents	C03	Diuretics	C07	Beta blocking agents	13916357	136236	0.0098	0.0082	8.972	2.312
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	13910062	76231	0.0055	0.0082	2.239	1.1
A02	Drugs for acid related disorders	N02	Analgesics	N06	Psychoanaleptics	13901560	180560	0.013	0.0082	2.077	1.751
M03	Muscle relaxants	N02	Analgesics	R05	Cough and cold preparations	13900350	1158291	0.0833	0.0082	28.644	5.234
C09	Agents acting on the renin-angiotensin system	N02	Analgesics	N06	Psychoanaleptics	13775953	85110	0.0062	0.0081	1.123	1.155
C10	Lipid modifying agents	H03	Thyroid therapy	N06	Psychoanaleptics	13747244	767769	0.0558	0.0081	1.346	1.139
C07	Beta blocking agents	N02	Analgesics	R05	Cough and cold preparations	13745966	210138	0.0153	0.0081	6.347	1.16
C08	Calcium channel blockers	C10	Lipid modifying agents	N06	Psychoanaleptics	13324953	291424	0.0219	0.0078	1.433	0.797
C03	Diuretics	N05	Psycholeptics	N06	Psychoanaleptics	13282184	234849	0.0177	0.0078	1.553	1.027
N02	Analgesics	N03	Antiepileptics	R05	Cough and cold preparations	12993424	467469	0.036	0.0076	11.55	2.11
C07	Beta blocking agents	C10	Lipid modifying agents	N05	Psycholeptics	12989427	248740	0.0191	0.0076	2.148	1.126
A02	Drugs for acid related disorders	C07	Beta blocking agents	N06	Psychoanaleptics	12945390	264611	0.0204	0.0076	1.996	1.226
C03	Diuretics	C07	Beta blocking agents	N02	Analgesics	12906259	97380	0.0075	0.0076	2.541	1.175
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	12840759	525249	0.0409	0.0076	1.28	0.492
C07	Beta blocking agents	N05	Psycholeptics	N06	Psychoanaleptics	12552477	468579	0.0373	0.0074	1.999	1.322
C03	Diuretics	C10	Lipid modifying agents	N05	Psycholeptics	12494864	91942	0.0074	0.0073	1.516	1.055
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	12354035	248820	0.0201	0.0073	2.727	1.34
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	J01	Antibacterials for systemic use	12352171	254964	0.0206	0.0073	0.882	0.483
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	12253477	142862	0.0117	0.0072	2.878	1.066
C10	Lipid modifying agents	N03	Antiepileptics	N06	Psychoanaleptics	12118247	366519	0.0302	0.0071	1.72	1.084
C03	Diuretics	N02	Analgesics	N06	Psychoanaleptics	12074870	63415	0.0053	0.0071	1.204	1.238
C03	Diuretics	C07	Beta blocking agents	H03	Thyroid therapy	12044453	425162	0.0353	0.0071	3.251	1.504
A02	Drugs for acid related disorders	C10	Lipid modifying agents	N02	Analgesics	12014935	71011	0.0059	0.0071	1.863	1.35
A02	Drugs for acid related disorders	C10	Lipid modifying agents	N05	Psycholeptics	11863858	234703	0.0198	0.007	2.157	1.564
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	G04	Urologicals	11801522	557900	0.0473	0.0069	3.92	1.506
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	11794654	17837	0.0015	0.0069	2.478	0.952
N05	Psycholeptics	N06	Psychoanaleptics	R05	Cough and cold preparations	11775188	10693	9e-04	0.0069	3.229	1.88
A10	Drugs used in diabetes	C07	Beta blocking agents	C08	Calcium channel blockers	11643225	106393	0.0091	0.0068	4.16	1.801
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	R03	Drugs for obstructive airway diseases	11589123	301415	0.026	0.0068	2.025	0.778
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	11465660	142056	0.0124	0.0067	2.164	1.063
A10	Drugs used in diabetes	C10	Lipid modifying agents	H03	Thyroid therapy	11429866	523477	0.0458	0.0067	1.955	1.45
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	N03	Antiepileptics	11352193	158552	0.014	0.0067	1.91	1.047
C01	Cardiac therapy	C07	Beta blocking agents	C10	Lipid modifying agents	11345934	231945	0.0204	0.0067	9.773	2.574
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	11275028	148873	0.0132	0.0066	1.411	0.774
A02	Drugs for acid related disorders	C03	Diuretics	C08	Calcium channel blockers	11244894	136773	0.0122	0.0066	3.667	1.674
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	11193195	374313	0.0334	0.0066	2.432	0.934
C07	Beta blocking agents	N02	Analgesics	N06	Psychoanaleptics	11175096	157315	0.0141	0.0066	1.518	1.454
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	R01	Nasal preparations	11107065	223656	0.0201	0.0065	1.728	0.948
A02	Drugs for acid related disorders	C10	Lipid modifying agents	H03	Thyroid therapy	11077508	410836	0.0371	0.0065	2.356	1.707
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	11050441	41509	0.0038	0.0065	1.957	1.408
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	R05	Cough and cold preparations	11032584	7416	7e-04	0.0065	1.66	0.91
A10	Drugs used in diabetes	B01	Antithrombotic agents	C10	Lipid modifying agents	11022990	164431	0.0149	0.0065	4.503	1.915
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	10959502	61518	0.0056	0.0064	1.561	0.994
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	G03	Sex hormones and modulators of the genital system	10934772	991404	0.0907	0.0064	0.822	0.316
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	10932804	354731	0.0324	0.0064	2.135	1.359
C10	Lipid modifying agents	N02	Analgesics	N05	Psycholeptics	10901783	68930	0.0063	0.0064	1.746	1.06
C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	N06	Psychoanaleptics	10844208	253032	0.0233	0.0064	1.212	1.045
A10	Drugs used in diabetes	C03	Diuretics	N06	Psychoanaleptics	10820692	79151	0.0073	0.0064	0.985	0.861
C03	Diuretics	C08	Calcium channel blockers	N06	Psychoanaleptics	10816686	159247	0.0147	0.0064	1.624	0.742
A10	Drugs used in diabetes	C10	Lipid modifying agents	N02	Analgesics	10724768	66151	0.0062	0.0063	1.338	0.992
C07	Beta blocking agents	C10	Lipid modifying agents	G04	Urologicals	10668912	320288	0.03	0.0063	4.228	2.217
C09	Agents acting on the renin-angiotensin system	N02	Analgesics	N05	Psycholeptics	10549457	49248	0.0047	0.0062	1.929	1.171
A02	Drugs for acid related disorders	N02	Analgesics	N05	Psycholeptics	10537219	86353	0.0082	0.0062	3.53	2.142
H03	Thyroid therapy	N05	Psycholeptics	N06	Psychoanaleptics	10497827	716997	0.0683	0.0062	2.221	1.469
A02	Drugs for acid related disorders	N03	Antiepileptics	N06	Psychoanaleptics	10494338	316893	0.0302	0.0062	3.116	1.964
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	10464842	245702	0.0235	0.0062	2.458	0.944
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	M01	Anti-inflammatory and antirheumatic products	10461322	536752	0.0513	0.0062	3.219	1.236
C03	Diuretics	C07	Beta blocking agents	N05	Psycholeptics	10452460	179115	0.0171	0.0061	2.413	1.116
N02	Analgesics	N03	Antiepileptics	N05	Psycholeptics	10381755	171398	0.0165	0.0061	6.087	2.883
B01	Antithrombotic agents	C08	Calcium channel blockers	C10	Lipid modifying agents	10376600	172465	0.0166	0.0061	6.99	2.671
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	C03	Diuretics	10339233	47860	0.0046	0.0061	2.044	1.574
A02	Drugs for acid related disorders	B01	Antithrombotic agents	C10	Lipid modifying agents	10084261	138440	0.0137	0.0059	5.122	2.179
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	10083901	106079	0.0105	0.0059	2.094	1.506
M03	Muscle relaxants	N02	Analgesics	N06	Psychoanaleptics	10036882	190979	0.019	0.0059	6.084	1.662
G03	Sex hormones and modulators of the genital system	N05	Psycholeptics	N06	Psychoanaleptics	9946756	1339273	0.1346	0.0059	0.976	0.646
C01	Cardiac therapy	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	9925797	102452	0.0103	0.0058	5.132	2.614
J01	Antibacterials for systemic use	R05	Cough and cold preparations	R06	Antihistamines for systemic use	9903087	1419076	0.1433	0.0058	10.971	3.516
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	9860159	379273	0.0385	0.0058	3.175	1.176
C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	N06	Psychoanaleptics	9844629	153681	0.0156	0.0058	1.595	1.005
C01	Cardiac therapy	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	9835971	122363	0.0124	0.0058	9.673	2.548
C03	Diuretics	H03	Thyroid therapy	N06	Psychoanaleptics	9820850	220670	0.0225	0.0058	1.343	1.127
A10	Drugs used in diabetes	B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	9775945	81330	0.0083	0.0058	4.559	2.085
C08	Calcium channel blockers	C10	Lipid modifying agents	N02	Analgesics	9725846	52383	0.0054	0.0057	2.001	1.113
A02	Drugs for acid related disorders	C07	Beta blocking agents	C08	Calcium channel blockers	9657007	121707	0.0126	0.0057	4.29	1.858
C03	Diuretics	C10	Lipid modifying agents	G04	Urologicals	9596139	104259	0.0109	0.0056	2.792	1.827
A02	Drugs for acid related disorders	C03	Diuretics	N02	Analgesics	9593636	24617	0.0026	0.0056	2.077	1.599
B01	Antithrombotic agents	C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	9533486	123539	0.013	0.0056	7.333	2.717
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	9525548	240041	0.0252	0.0056	2.099	1.151
C10	Lipid modifying agents	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	9428845	404772	0.0429	0.0055	3.5	0.964
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	9407470	223842	0.0238	0.0055	2.591	0.96
C08	Calcium channel blockers	N02	Analgesics	R05	Cough and cold preparations	9379413	127244	0.0136	0.0055	6.318	1.154
J01	Antibacterials for systemic use	N02	Analgesics	N06	Psychoanaleptics	9373775	210904	0.0225	0.0055	1.04	1.067
A02	Drugs for acid related disorders	H03	Thyroid therapy	N06	Psychoanaleptics	9368533	352849	0.0377	0.0055	1.919	1.488
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	C07	Beta blocking agents	9218978	65643	0.0071	0.0054	2.483	1.524
C03	Diuretics	N02	Analgesics	N05	Psycholeptics	9156440	31532	0.0034	0.0054	2.047	1.242
C03	Diuretics	C08	Calcium channel blockers	N02	Analgesics	9136639	53720	0.0059	0.0054	2.624	1.198
A10	Drugs used in diabetes	N02	Analgesics	R05	Cough and cold preparations	9104557	195072	0.0214	0.0054	3.719	0.68
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	9044532	147896	0.0164	0.0053	2.196	1.58
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	G04	Urologicals	9032378	125867	0.0139	0.0053	4.087	2.008
C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	9018684	251403	0.0279	0.0053	3.823	1.053
A10	Drugs used in diabetes	B01	Antithrombotic agents	C07	Beta blocking agents	9005720	66731	0.0074	0.0053	6.997	1.803
A10	Drugs used in diabetes	C07	Beta blocking agents	N06	Psychoanaleptics	8968384	83962	0.0094	0.0053	1.112	0.885
A02	Drugs for acid related disorders	C07	Beta blocking agents	N02	Analgesics	8908156	45848	0.0051	0.0052	2.627	1.613
C08	Calcium channel blockers	C10	Lipid modifying agents	H03	Thyroid therapy	8883754	235895	0.0266	0.0052	2.506	1.394
B01	Antithrombotic agents	C10	Lipid modifying agents	N06	Psychoanaleptics	8848670	124177	0.014	0.0052	2.07	0.88
J01	Antibacterials for systemic use	N05	Psycholeptics	N06	Psychoanaleptics	8826753	486805	0.0552	0.0052	1.149	0.76
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	G03	Sex hormones and modulators of the genital system	8800516	315161	0.0358	0.0052	0.474	0.26
C03	Diuretics	C10	Lipid modifying agents	J01	Antibacterials for systemic use	8687516	65398	0.0075	0.0051	0.758	0.528
C03	Diuretics	C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	8633056	44004	0.0051	0.0051	1.321	0.919
A02	Drugs for acid related disorders	B01	Antithrombotic agents	C07	Beta blocking agents	8621905	71237	0.0083	0.0051	8.328	2.146
C07	Beta blocking agents	C08	Calcium channel blockers	N06	Psychoanaleptics	8613233	126950	0.0147	0.0051	1.762	0.763
N06	Psychoanaleptics	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	8602241	690243	0.0802	0.0051	3.076	0.848
B01	Antithrombotic agents	C01	Cardiac therapy	C07	Beta blocking agents	8571751	161175	0.0188	0.005	44.548	5.133
G03	Sex hormones and modulators of the genital system	N02	Analgesics	R05	Cough and cold preparations	8546044	544004	0.0637	0.005	2.432	0.444
C07	Beta blocking agents	N02	Analgesics	N05	Psycholeptics	8527497	55726	0.0065	0.005	2.597	1.576
B01	Antithrombotic agents	C07	Beta blocking agents	C08	Calcium channel blockers	8509439	101543	0.0119	0.005	10.903	2.809
C07	Beta blocking agents	C10	Lipid modifying agents	N03	Antiepileptics	8497701	122042	0.0144	0.005	2.381	1.248
C07	Beta blocking agents	C10	Lipid modifying agents	J01	Antibacterials for systemic use	8487348	151956	0.0179	0.005	1.009	0.529
A10	Drugs used in diabetes	C10	Lipid modifying agents	N05	Psycholeptics	8479075	138999	0.0164	0.005	1.24	0.92
M03	Muscle relaxants	N02	Analgesics	N05	Psycholeptics	8469453	161611	0.0191	0.005	11.513	3.144
A02	Drugs for acid related disorders	C03	Diuretics	N05	Psycholeptics	8458672	49675	0.0059	0.005	2.148	1.583
C01	Cardiac therapy	C03	Diuretics	C07	Beta blocking agents	8455834	78524	0.0093	0.005	10.169	2.679
H03	Thyroid therapy	N02	Analgesics	R05	Cough and cold preparations	8428244	262438	0.0311	0.005	5.169	0.945
C03	Diuretics	C10	Lipid modifying agents	N03	Antiepileptics	8376481	47000	0.0056	0.0049	1.723	1.199
C03	Diuretics	N03	Antiepileptics	N06	Psychoanaleptics	8376042	96385	0.0115	0.0049	1.66	1.046
B01	Antithrombotic agents	C01	Cardiac therapy	C10	Lipid modifying agents	8351554	100596	0.012	0.0049	22.821	2.63
C01	Cardiac therapy	C03	Diuretics	C09	Agents acting on the renin-angiotensin system	8282808	108661	0.0131	0.0049	5.979	2.297
A02	Drugs for acid related disorders	C07	Beta blocking agents	N05	Psycholeptics	8222116	102405	0.0125	0.0048	2.844	1.746
C10	Lipid modifying agents	N06	Psychoanaleptics	R05	Cough and cold preparations	8217831	4022	5e-04	0.0048	1.043	1.137
H03	Thyroid therapy	N02	Analgesics	N06	Psychoanaleptics	8204210	160395	0.0196	0.0048	1.48	1.522
C07	Beta blocking agents	N03	Antiepileptics	N06	Psychoanaleptics	8116310	217394	0.0268	0.0048	2.191	1.381
A02	Drugs for acid related disorders	C10	Lipid modifying agents	G04	Urologicals	8078941	281274	0.0348	0.0048	3.522	2.135
A02	Drugs for acid related disorders	C03	Diuretics	H03	Thyroid therapy	8078040	99772	0.0124	0.0048	2.398	1.847
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	8031398	93905	0.0117	0.0047	1.341	0.854
C03	Diuretics	C10	Lipid modifying agents	R01	Nasal preparations	8015185	58947	0.0074	0.0047	1.525	1.061
G03	Sex hormones and modulators of the genital system	N02	Analgesics	N06	Psychoanaleptics	8011570	370983	0.0463	0.0047	0.671	0.69
A10	Drugs used in diabetes	C03	Diuretics	N02	Analgesics	7988166	18324	0.0023	0.0047	1.391	1.215
A02	Drugs for acid related disorders	C08	Calcium channel blockers	N06	Psychoanaleptics	7987835	101957	0.0128	0.0047	1.797	1.164
C07	Beta blocking agents	H03	Thyroid therapy	N06	Psychoanaleptics	7964430	218685	0.0275	0.0047	1.483	1.13
C03	Diuretics	C10	Lipid modifying agents	R05	Cough and cold preparations	7962117	2146	3e-04	0.0047	1.465	1.019
C08	Calcium channel blockers	C10	Lipid modifying agents	N05	Psycholeptics	7955913	110560	0.0139	0.0047	1.919	1.068
A02	Drugs for acid related disorders	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	7955689	452210	0.0568	0.0047	6.178	1.702
A10	Drugs used in diabetes	C10	Lipid modifying agents	G04	Urologicals	7935149	268688	0.0339	0.0047	2.782	1.821
C10	Lipid modifying agents	N02	Analgesics	N03	Antiepileptics	7908004	46248	0.0058	0.0047	2.146	1.152
A02	Drugs for acid related disorders	C10	Lipid modifying agents	N03	Antiepileptics	7884056	97282	0.0123	0.0046	2.43	1.673
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	N06	Psychoanaleptics	7868045	97453	0.0124	0.0046	1.073	1.047
A02	Drugs for acid related disorders	B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	7856746	39938	0.0051	0.0046	4.556	2.083
J01	Antibacterials for systemic use	N06	Psychoanaleptics	R05	Cough and cold preparations	7834303	112985	0.0144	0.0046	1.545	0.813
C01	Cardiac therapy	C03	Diuretics	C10	Lipid modifying agents	7830546	30935	0.004	0.0046	4.951	2.435
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	7796825	90788	0.0116	0.0046	1.059	0.52
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	G04	Urologicals	7731782	289262	0.0374	0.0045	5.104	1.891
C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	R05	Cough and cold preparations	7726875	2464	3e-04	0.0045	1.12	1.221
