drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
alitretinoin	81864	D11AH04	Other dermatological preparations	110.44	C0281666	DB00523
alizapride	17311	A03FA05	Drugs for functional gastrointestinal disorders	NA	C0051162	DB01425
allopurinol	519	M04AA01	Antigout preparations	0.15	C0002144	DB00437
allylestrenol	525	G03DC01	Sex hormones and modulators of the genital system	NA	C0002158	DB01431
almitrine	528	R07AB07	Other respiratory system products	NA	C0002164	DB01430
almotriptan	279645	N02CC05	Analgesics	18.55	C0914729	DB00918
aloe polysaccharide	476786	NA	NA	NA	C1509940	NA
alogliptin	1368001	A10BH04	Drugs used in diabetes	9.11	C1958126	DB06203
alosetron	85248	A03AE01	Drugs for functional gastrointestinal disorders	33.33	C0291772	DB00969
alprazolam	596	N05BA12	Psycholeptics	0.4	C0002333	DB00404
alprenolol	597	C07AA01	Beta blocking agents	NA	C0002334	DB00866
alprostadil	598	C01EA01	Cardiac therapy	33.64	C0002335	DB00770
alteplase	8410	S01XA13	Ophthalmologicals	290.96	C0032143	DB00009
altretamine	5296	L01XX03	Antineoplastic agents	65.47	C0019453	DB00488
aluminum chloride	46241	D10AX01	Anti-acne preparations	0.33	C0102840	NA
alverine	17627	A03AX08	Drugs for functional gastrointestinal disorders	NA	C0051528	DB01616
alvimopan	480639	A06AH02	Drugs for constipation	107.69	C1508750	DB06274
amantadine	620	N04BB01	Anti-parkinson drugs	1.64	C0002403	DB00915
ambenonium	623	N07AA30	Other nervous system drugs	7.23	C0002412	DB01122
ambrisentan	358274	C02KX02	Antihypertensives	191.27	C1176329	DB06403
amcinonide	17652	D07AC11	Corticosteroids, dermatological preparations	3.95	C0051556	DB00288
amifostine	4126	V03AF05	All other therapeutic products	248.7	C0015020	DB01143
amikacin	641	S01AA21	Ophthalmologicals	15.19	C0002499	DB00479
amiloride	644	C03DB01	Diuretics	0.55	C0002502	DB00594
aminoglutethimide	677	L02BG01	Endocrine therapy	6.78	C0002555	DB00357
aminolevulinic acid	683	L01XD04	Antineoplastic agents	221.96	C0002563	DB00855
aminophylline	689	R03DA05	Drugs for obstructive airway diseases	0.43	C0002575	DB01223
aminosalicylic acid	7833	J04AA01	Antimycobacterials	5.12	C0030125	DB00233
amiodarone	703	C01BD01	Cardiac therapy	0.72	C0002598	DB01118
amisulpride	46303	N05AL05	Psycholeptics	NA	C0103045	DB06288
amitriptyline	704	N06AA09	Psychoanaleptics	0.18	C0002600	DB00321
amlexanox	46307	R03DX01	Drugs for obstructive airway diseases	2.97	C0103049	DB01025
amlodipine	17767	C08CA01	Calcium channel blockers	1.19	C0051696	DB00381
amobarbital	719	N05CA02	Psycholeptics	NA	C0002640	DB01351
amodiaquine	720	P01BA06	Antiprotozoals	0.81	C0002641	DB00613
amoxapine	722	N06AA17	Psychoanaleptics	1.34	C0002644	DB00543
amoxicillin	723	J01CA04	Antibacterials for systemic use	1.69	C0002645	DB01060
amphetamine	725	N06BA01	Psychoanaleptics	4.06	C0002658	DB00182
amphotericin b	732	J02AA01	Antimycotics for systemic use	27.49	C0002679	DB00681
ampicillin	733	J01CA01	Antibacterials for systemic use	0.87	C0002680	DB00415
amprenavir	228656	J05AE05	Antivirals for systemic use	8.44	C0754188	DB00701
amsacrine	739	L01XX01	Antineoplastic agents	NA	C0002699	DB00276
amyl nitrite	742	V03AB22	All other therapeutic products	2.68	C0002711	DB01612
anagrelide	596724	L01XX35	Antineoplastic agents	4.28	C0051809	DB00261
anakinra	72435	L04AC03	Immunosuppressants	63.84	C0245109	DB00026
anastrozole	84857	L02BG03	Endocrine therapy	4.43	C0290883	DB01217
anidulafungin	341018	J02AX06	Antimycotics for systemic use	208.1	C1142738	DB00362
anileridine	17933	N01AH05	Anesthetics	NA	C0051908	DB00913
aniracetam	17939	N06BX11	Psychoanaleptics	NA	C0051917	NA
anistreplase	40028	B01AD03	Antithrombotic agents	NA	C0078956	DB00029
antazoline	865	R06AX05	Antihistamines for systemic use	NA	C0003143	DB08799
anthralin	873	D05AC01	Antipsoriatics	8.13	C0003166	NA
antipyrine	1001	N02BB01	Analgesics	1.44	C0003420	DB01435
apixaban	1364430	B01AF02	Antithrombotic agents	9.14	C1831808	DB06605
apomorphine	1043	N04BC07	Anti-parkinson drugs	351.34	C0003596	DB00714
apraclonidine	14845	S01EA03	Ophthalmologicals	5.06	C0048038	DB00964
apremilast	1492727	L04AA32	Immunosuppressants	62.6	C1678805	DB05676
aprepitant	358255	A04AD12	Antiemetics and antinauseants	74.57	C1176306	DB00673
aprindine	1054	C01BB04	Cardiac therapy	NA	C0003639	DB01429
aprobarbital	17381	N05CA05	Psycholeptics	NA	C0051241	DB01352
aprotinin	1056	B02AB01	Antihemorrhagics	65.73	C0003641	DB06692
arbutamine	61609	C01CA22	Cardiac therapy	NA	C0172021	DB01102
arformoterol	304962	R03	Drugs for obstructive airway diseases	12.49	C0969589	DB01274
argatroban	15202	B01AE03	Antithrombotic agents	288.14	C0048470	DB00278
aripiprazole	89013	N05AX12	Psycholeptics	19.3	C0299792	DB01238
armodafinil	641465	N06BA13	Psychoanaleptics	12.86	C1701455	DB06413
arsenic trioxide	18330	L01XX27	Antineoplastic agents	261.79	C0052416	DB01169
artemether	18343	P01BE02	Antiprotozoals	19.06	C0052429	DB06697
asenapine	784649	N05AH05	Psycholeptics	15.6	C2000088	DB06216
asparaginase	1156	L01XX02	Antineoplastic agents	6.62	C0003993	DB00023
aspirin	1191	N02BA01	Analgesics	3.82	C0004057	DB00945
astemizole	42328	R06AX11	Antihistamines for systemic use	NA	C0085170	DB00637
atazanavir	343047	J05AE08	Antivirals for systemic use	30.76	C1145759	DB01072
atenolol	1202	C07AB03	Beta blocking agents	0.16	C0004147	DB00335
atomoxetine	38400	N06BA09	Psychoanaleptics	6.47	C0076823	DB00289
atorvastatin	83367	C10AA05	Lipid modifying agents	2.53	C0286651	DB01076
atovaquone	60212	P01AX06	Antiprotozoals	10.12	C0165603	DB01117
atracurium	1218	M03AC04	Muscle relaxants	9.67	C0004234	NA
atropine	1223	A03BA01	Drugs for functional gastrointestinal disorders	1.33	C0004259	DB00572
attapulgite	18516	A07BC04	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	0.43	C0052657	DB01574
auranofin	1227	M01CB03	Anti-inflammatory and antirheumatic products	14.49	C0004320	DB00995
avanafil	1291301	G04BE10	Urologicals	18.07	C2698280	DB06237
axitinib	1242999	L01XE17	Antineoplastic agents	322.23	C1700874	DB06626
azacitidine	1251	L01BC07	Antineoplastic agents	372.87	C0004475	DB00928
azatadine	18600	R06AX09	Antihistamines for systemic use	1.48	C0052759	DB00719
azathioprine	1256	L04AX01	Immunosuppressants	1.15	C0004482	DB00993
azelastine	18603	R06AX19	Antihistamines for systemic use	3.11	C0052762	DB00972
azelate	618278	D10AX03	Anti-acne preparations	NA	C1291212	NA
azidocillin	18609	J01CE04	Antibacterials for systemic use	NA	C0052772	DB08795
azilsartan	1091643	C09CA09	Agents acting on the renin-angiotensin system	3.2	C1958569	DB08822
azithromycin	18631	J01FA10	Antibacterials for systemic use	3.51	C0052796	DB00207
azlocillin	1266	J01CA09	Antibacterials for systemic use	NA	C0004499	DB01061
aztreonam	1272	J01DF01	Antibacterials for systemic use	178.6	C0004521	DB00355
bacampicillin	18687	J01CA06	Antibacterials for systemic use	NA	C0052865	DB01602
bacitracin	1291	D06AX05	Antibiotics and chemotherapeutics for dermatological use	3.38	C0004599	DB00626
baclofen	1292	M03BX01	Muscle relaxants	0.86	C0004609	DB00181
balsalazide	18747	A07EC04	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	5.43	C0052940	DB01014
bambuterol	18751	R03CC12	Drugs for obstructive airway diseases	NA	C0052944	DB01408
barbital	1325	N05CA04	Psycholeptics	3.88	C0004743	NA
basiliximab	196102	L04AC02	Immunosuppressants	194.67	C0676831	DB00074
bazedoxifene	1441386	G03XC02	Sex hormones and modulators of the genital system	3.72	C2346970	DB06401
becaplermin	115238	D03AX06	Preparations for treatment of wounds and ulcers	53.33	C0379135	DB00102
beclomethasone	1347	A07EA07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	3.77	C0004905	DB00394
belimumab	1092437	L04AA26	Immunosuppressants	97.92	C1723401	DB08879
benazepril	18867	C09AA07	Agents acting on the renin-angiotensin system	1.51	C0053091	DB00542
bendroflumethiazide	1369	C03AA01	Diuretics	2.06	C0004975	DB00436
bentiromide	18896	V04CK03	Diagnostic agents	NA	C0053122	NA
benzoate	70589	P03AX01	Ectoparasiticides, including scabicides, insecticides and repellents	18.02	C0220795	NA
benzocaine	1399	R02AD01	Throat preparations	1.46	C0005059	DB01086
benzonatate	18993	R05DB01	Cough and cold preparations	1.29	C0053229	DB00868
benzoyl peroxide	1418	D10AE01	Anti-acne preparations	6.01	C0005088	DB09096
benzphetamine	1422	A08	Antiobesity preparations, excluding diet products	2.65	C0005096	DB00865
benztropine	1424	N04AC01	Anti-parkinson drugs	0.24	C0005098	DB00245
benzyl benzoate	19044	P03AX01	Ectoparasiticides, including scabicides, insecticides and repellents	0.48	C0053289	DB00676
bepotastine	863035	NA	NA	6.52	C2698371	DB04890
bepridil	1436	C08EA02	Calcium channel blockers	NA	C0005116	DB01244
besifloxacin	819911	S01AE08	Ophthalmologicals	6.59	C2351042	DB06771
betahistine	1511	N07CA01	Other nervous system drugs	4.39	C0005301	DB06698
betaine	1512	A16AA06	Other alimentary tract and metabolism products	37.9	C0005304	DB06756
betamethasone	1514	D07XC01	Corticosteroids, dermatological preparations	3.97	C0005308	DB00443
betaxolol	1520	S01ED02	Ophthalmologicals	2.82	C0005320	DB00195
bethanechol	19257	N07AB02	Other nervous system drugs	2.24	C0053526	DB01019
bevacizumab	253337	L01XC07	Antineoplastic agents	270.69	C0796392	DB00112
bexarotene	233272	L01XX25	Antineoplastic agents	182.2	C0765273	DB00307
bezafibrate	1525	C10AB02	Lipid modifying agents	NA	C0005330	DB01393
bicalutamide	83008	L02BB03	Endocrine therapy	7.01	C0285590	DB01128
bifonazole	19295	D01AC10	Antifungals for dermatological use	NA	C0053570	DB04794
bimatoprost	283810	S01EE03	Ophthalmologicals	3.71	C0937917	DB00905
biotin	1588	A11HA05	Vitamins	1.6	C0005575	DB00121
biperiden	1589	N04AA02	Anti-parkinson drugs	1.1	C0005578	DB00810
bisacodyl	1596	A06AB02	Drugs for constipation	38.54	C0005632	DB09020
bismuth subcitrate	47181	A02BX05	Drugs for acid related disorders	NA	C0106556	DB09275
bismuth subsalicylate	19478	NA	NA	0.61	C0053792	DB01294
bisoprolol	19484	C07AB07	Beta blocking agents	0.42	C0053799	DB00612
bitolterol	19499	R03AC17	Drugs for obstructive airway diseases	NA	C0053817	NA
bivalirudin	60819	B01AE06	Antithrombotic agents	1.8	C0168273	DB00006
bleomycin	1622	L01DC01	Antineoplastic agents	30.56	C0005740	DB00290
boceprevir	1102129	J05AE12	Antivirals for systemic use	161.98	C1738934	DB08873
bopindolol	19605	C07AA17	Beta blocking agents	NA	C0053941	DB08807
bortezomib	358258	L01XX32	Antineoplastic agents	411.66	C1176309	DB00188
bosentan	75207	C02KX01	Antihypertensives	180.83	C0252643	DB00559
botulinum toxin type a	1712	NA	NA	NA	C0006050	DB00083
brimonidine	134615	S01EA05	Ophthalmologicals	3.17	C0525227	DB00484
brinzolamide	194881	S01EC04	Ophthalmologicals	3.14	C0673966	DB01194
bromazepam	1749	N05BA08	Psycholeptics	NA	C0006213	DB01558
bromfenac	19737	S01BC11	Ophthalmologicals	8	C0054094	DB00963
bromocriptine	1760	N04BC01	Anti-parkinson drugs	3.81	C0006230	DB01200
brompheniramine	1767	R06AB01	Antihistamines for systemic use	2.68	C0006246	DB00835
buclizine	59636	R06AE01	Antihistamines for systemic use	NA	C0164386	DB00354
budesonide	19831	A07EA06	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	8.49	C0054201	DB01222
bumetanide	1808	C03CA02	Diuretics	0.37	C0006376	DB00887
bupivacaine	1815	N01BB01	Anesthetics	22.32	C0006400	DB00297
bupranolol	1817	C07AA19	Beta blocking agents	NA	C0006403	DB08808
buprenorphine	1819	N02AE01	Analgesics	12.1	C0006405	DB00921
bupropion	42347	N06AX12	Psychoanaleptics	2.05	C0085208	DB01156
buserelin	1825	L02AE01	Endocrine therapy	NA	C0006456	DB06719
buspirone	1827	N05BE01	Psycholeptics	0.68	C0006462	DB00490
busulfan	1828	L01AB01	Antineoplastic agents	46.04	C0006463	DB01008
butalbital	19860	N05CA	Psycholeptics	2.28	C0054234	DB00241
butenafine	47461	D01AE23	Antifungals for dermatological use	6.92	C0107497	DB01091
butoconazole	19884	G01AF15	Gynecological antiinfectives and antiseptics	35.9	C0054259	DB00639
butorphanol	1841	N02AF01	Analgesics	6.16	C0006491	DB00611
c1 esterase inhibitor	1599832	B06AC01	Other hematological agents	1856.71	C0540301	NA
cabergoline	47579	N04BC06	Anti-parkinson drugs	5.97	C0107994	DB00248
cadexomer iodine	20012	D03AX01	Preparations for treatment of wounds and ulcers	8.16	C0054409	NA
caffeine	1886	N06BC01	Psychoanaleptics	2.23	C0006644	DB00201
calcipotriene	29365	D05AX02	Antipsoriatics	20.6	C0065767	DB02300
calcitriol	1894	D05AX03	Antipsoriatics	2.62	C0006674	DB00136
canagliflozin	1373458	A10BX11	Drugs used in diabetes	9.72	C2974540	DB08907
canakinumab	853491	L04AC08	Immunosuppressants	562.7	C2718773	DB06168
candesartan	214354	C09CA06	Agents acting on the renin-angiotensin system	2.41	C0717550	DB00796
capecitabine	194000	L01BC06	Antineoplastic agents	97.65	C0671970	DB01101
capreomycin	78903	J04AB30	Antimycobacterials	0	C0262964	DB00314
capsaicin	1992	M02AB01	Topical products for joint and muscular pain	59.94	C0006931	DB06774
captopril	1998	C09AA01	Agents acting on the renin-angiotensin system	0.38	C0006938	DB01197
carbachol	1999	S01EB02	Ophthalmologicals	1.36	C0006945	DB00411
carbamazepine	2002	N03AF01	Antiepileptics	2.02	C0006949	DB00564
carbenicillin	2015	J01CA03	Antibacterials for systemic use	10.99	C0006976	DB00578
carbenoxolone	2017	A02BX01	Drugs for acid related disorders	NA	C0006979	NA
carbidopa	2019	N04BA02	Anti-parkinson drugs	2.12	C0006982	DB00190
carbimazole	2020	H03BB01	Thyroid therapy	0.37	C0006983	DB00389
carbinoxamine	20220	R06AA08	Antihistamines for systemic use	1.4	C0054672	DB00748
carboplatin	40048	L01XA02	Antineoplastic agents	14.62	C0079083	DB00958
carglumic acid	401713	A16AA05	Other alimentary tract and metabolism products	1783.94	C1318649	DB06775
carisoprodol	2101	M03BA02	Muscle relaxants	0.83	C0007248	DB00395
carmustine	2105	L01AD01	Antineoplastic agents	36.22	C0007257	DB00262
carteolol	2116	S01ED05	Ophthalmologicals	0.56	C0007299	DB00521
carvedilol	20352	C07AG02	Beta blocking agents	1	C0054836	DB01136
caspofungin	140108	J02AX04	Antimycotics for systemic use	329.02	C0537894	DB00520
castor oil	2129	A06AB05	Drugs for constipation	4.89	C0007343	NA
cathine	32022	A08AA07	Antiobesity preparations, excluding diet products	NA	C0069021	NA
cefaclor	2176	J01DC04	Antibacterials for systemic use	3.06	C0007537	DB00833
cefadroxil	2177	J01DB05	Antibacterials for systemic use	2.65	C0007538	DB01140
cefamandole	2178	J01DC03	Antibacterials for systemic use	NA	C0007541	DB01326
cefazolin	2180	J01DB04	Antibacterials for systemic use	10.65	C0007546	DB01327
cefdinir	25037	J01DD15	Antibacterials for systemic use	5.67	C0060405	DB00535
cefditoren	83682	J01DD16	Antibacterials for systemic use	17.33	C0287573	DB01066
cefepime	20481	J01DE01	Antibacterials for systemic use	44.13	C0055003	DB01413
cefixime	25033	J01DD08	Antibacterials for systemic use	19.44	C0060400	DB00671
cefmetazole	2182	J01DC09	Antibacterials for systemic use	NA	C0007550	DB00274
cefonicid	2183	J01DC06	Antibacterials for systemic use	NA	C0007551	DB01328
cefoperazone	2184	J01DD12	Antibacterials for systemic use	NA	C0007552	DB01329
ceforanide	20486	J01DC11	Antibacterials for systemic use	NA	C0055008	DB00923
cefotaxime	2186	J01DD01	Antibacterials for systemic use	12.68	C0007554	DB00493
cefotetan	2187	J01DC05	Antibacterials for systemic use	60.38	C0007555	DB01330
cefotiam	2188	J01DC07	Antibacterials for systemic use	NA	C0007556	DB00229
cefoxitin	2189	J01DC01	Antibacterials for systemic use	24.91	C0007557	DB01331
cefpodoxime	20489	J01DD13	Antibacterials for systemic use	8.75	C0055011	DB01416
cefprozil	19552	J01DC10	Antibacterials for systemic use	5.09	C0053882	DB01150
ceftazidime	2191	J01DD02	Antibacterials for systemic use	21.68	C0007559	DB00438
ceftibuten	20492	J01DD14	Antibacterials for systemic use	22.27	C0055014	DB01415
ceftizoxime	2192	J01DD07	Antibacterials for systemic use	19.69	C0007560	DB01332
ceftriaxone	2193	J01DD04	Antibacterials for systemic use	16.96	C0007561	DB01212
cefuroxime	2194	S01AA27	Ophthalmologicals	2.59	C0007562	DB01112
celecoxib	140587	L01XX33	Antineoplastic agents	4.99	C0538927	DB00482
cephalexin	2231	J01DB01	Antibacterials for systemic use	0.97	C0007716	DB00567
certolizumab pegol	709271	L04AB05	Immunosuppressants	87.22	C1872109	DB08904
cetirizine	20610	R06AE07	Antihistamines for systemic use	1.75	C0055147	DB00341
cetrorelix	68147	H01CC02	Pituitary and hypothalamic hormones and analogues	132.08	C0209366	DB00050
cetuximab	318341	L01XC06	Antineoplastic agents	417.63	C0995188	DB00002
cevimeline	44281	N07AX03	Other nervous system drugs	6.35	C0093437	DB00185
chlorambucil	2346	L01AA02	Antineoplastic agents	12.27	C0008163	DB00291
chloramphenicol	2348	G01AA05	Gynecological antiinfectives and antiseptics	5.14	C0008168	DB00446
chlordiazepoxide	2356	N05BA02	Psycholeptics	1.57	C0008188	DB00475
chlorhexidine	2358	D09AA12	Medicated dressings	0.29	C0008196	DB00878
chlormezanone	2373	M03BB02	Muscle relaxants	NA	C0008223	DB01178
chloroprocaine	20859	N01BA04	Anesthetics	11.02	C0055443	DB01161
chloropyramine	20861	R06AC03	Antihistamines for systemic use	NA	C0055445	DB08800
chloroquine	2393	P01BA01	Antiprotozoals	0.95	C0008269	DB00608
chlorothiazide	2396	C03AA04	Diuretics	0.44	C0008273	DB00880
chlorotrianisene	2397	G03CA06	Sex hormones and modulators of the genital system	NA	C0008275	NA
chloroxylenol	20877	D08AE05	Antiseptics and disinfectants	2.22	C0055463	NA
chlorphenesin	2399	D01AE07	Antifungals for dermatological use	NA	C0008280	DB00856
chlorpheniramine	2400	R06AB04	Antihistamines for systemic use	3.42	C0008281	DB01114
chlorpromazine	2403	N05AA01	Psycholeptics	2.16	C0008286	DB00477
chlorpropamide	2404	A10BB02	Drugs used in diabetes	0.71	C0008287	DB00672
chlorprothixene	2406	N05AF03	Psycholeptics	NA	C0008290	DB01239
chlorthalidone	2409	C03BA04	Diuretics	0.31	C0008294	DB00310
chlorzoxazone	2410	M03BB03	Muscle relaxants	0.96	C0008296	DB00356
cholestyramine resin	2447	C10AC01	Lipid modifying agents	66.05	C0008402	DB01432
chorionic gonadotropin	4986	G03GA01	Sex hormones and modulators of the genital system	63.45	C0018062	DB09126
ciclesonide	274964	R03BA08	Drugs for obstructive airway diseases	5.15	C0907850	DB01410
ciclopirox	21090	G01AX12	Gynecological antiinfectives and antiseptics	3.3	C0055711	DB01188
cidofovir	83171	J05AB12	Antivirals for systemic use	119.73	C0286079	DB00369
cilazapril	21102	C09AA08	Agents acting on the renin-angiotensin system	NA	C0055723	DB01340
cilostazol	21107	B01AC23	Antithrombotic agents	1.14	C0055729	DB01166
cimetidine	2541	A02BA01	Drugs for acid related disorders	0.45	C0008783	DB00501
cinacalcet	407990	H05BX01	Calcium homeostasis	21.04	C1337242	DB01012
cinnarizine	2549	N07CA02	Other nervous system drugs	NA	C0008803	DB00568
cinoxacin	2550	J01MB06	Antibacterials for systemic use	NA	C0008806	DB00827
ciprofloxacin	2551	S02AA15	Otologicals	2.4	C0008809	DB00537
cisapride	35255	A03FA02	Drugs for functional gastrointestinal disorders	7.62	C0072916	DB00604
cisplatin	2555	L01XA01	Antineoplastic agents	6.19	C0008838	DB00515
citalopram	2556	N06AB04	Psychoanaleptics	0.28	C0008845	DB00215
citric acid	21183	A09AB04	Digestives, including enzymes	30.26	C0055819	NA
cladribine	44157	L01BB04	Antineoplastic agents	566.65	C0092801	DB00242
clarithromycin	21212	J01FA09	Antibacterials for systemic use	6.27	C0055856	DB01211
clavulanate	48203	J01CR02	Antibacterials for systemic use	3.23	C0110038	DB00766
clemastine	2578	R06AA04	Antihistamines for systemic use	0.61	C0008929	DB00283
clenbuterol	2580	R03AC14	Drugs for obstructive airway diseases	NA	C0008932	DB01407
clidinium	21232	A03CA02	Drugs for functional gastrointestinal disorders	2.17	C0055877	DB00771
clindamycin	2582	G01AA10	Gynecological antiinfectives and antiseptics	4.34	C0008947	DB01190
clioquinol	5942	G01AC02	Gynecological antiinfectives and antiseptics	4.95	C0021978	NA
clobazam	21241	N05BA09	Psycholeptics	19.12	C0055891	DB00349
clobetasol	2590	D07AD01	Corticosteroids, dermatological preparations	4.2	C0008992	NA
clocortolone	21249	D07AB21	Corticosteroids, dermatological preparations	10.32	C0055899	DB00838
clofarabine	44151	L01BB06	Antineoplastic agents	NA	C0092777	DB00631
clofazimine	2592	J04BA01	Antimycobacterials	NA	C0008996	DB00845
clofibrate	2594	C10AB01	Lipid modifying agents	NA	C0009002	DB00636
clomiphene	2596	G03GB02	Sex hormones and modulators of the genital system	2.87	C0009008	DB00882
clomipramine	2597	N06AA04	Psychoanaleptics	3.83	C0009010	DB01242
clomocycline	21272	J01AA11	Antibacterials for systemic use	NA	C0055923	DB00453
clonazepam	2598	N03AE01	Antiepileptics	0.37	C0009011	DB01068
clonidine	2599	N02CX02	Analgesics	0.92	C0009014	DB00575
clopidogrel	32968	B01AC04	Antithrombotic agents	3.82	C0070166	DB00758
clorazepate	2353	N05BA05	Psycholeptics	1.02	C0008174	DB00628
clotiazepam	2622	N05BA21	Psycholeptics	NA	C0009073	DB01559
clotrimazole	2623	G01AF02	Gynecological antiinfectives and antiseptics	2.47	C0009074	DB00257
cloxacillin	2625	J01CF02	Antibacterials for systemic use	0.5	C0009077	DB01147
cloxazolam	21311	N05BA22	Psycholeptics	NA	C0055964	DB01553
clozapine	2626	N05AH02	Psycholeptics	5.62	C0009079	DB00363
cobicistat	1306284	V03AX03	All other therapeutic products	6.94	C3177235	DB09065
cocaine	2653	S02DA02	Otologicals	28.78	C0009170	DB00907
codeine	2670	R05DA04	Cough and cold preparations	1.28	C0009214	DB00318
colchicine	2683	M04AC01	Antigout preparations	4.37	C0009262	DB01394
colesevelam	141626	C10AC04	Lipid modifying agents	6.46	C0541155	DB00930
colestipol	2685	C10AC02	Lipid modifying agents	1.56	C0009279	DB00375
colistin	2709	J01XB01	Antibacterials for systemic use	90.98	C0009316	DB00803
collagenase	58939	D03BA02	Preparations for treatment of wounds and ulcers	21.57	C0162745	NA
collagenase clostridium histolyticum	898492	M09AB02	Other drugs for disorders of the musculo-skeletal system	NA	C0009053	DB00048
conivaptan	302285	C03XA02	Diuretics	NA	C0966107	DB00872
corticotropin	376	H01AA01	Pituitary and hypothalamic hormones and analogues	3141.29	C0001655	DB01285
cortisone	2878	H02AB10	Corticosteroids for systemic use	0.85	C0010137	NA
crizotinib	1148495	L01XE16	Antineoplastic agents	343.59	C2974289	DB08865
cromolyn	42612	A07EB01	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	4.47	C0086073	DB01003
crotamiton	21766	D04AX	Antipruritics, including antihistamines, anesthetics, etc.	10.6	C0056519	DB00265
cyclandelate	2970	C04AX01	Peripheral vasodilators	1.14	C0010525	DB04838
cyclizine	2977	R06AE03	Antihistamines for systemic use	3.05	C0010547	DB01176
cyclobenzaprine	21949	M03BX08	Muscle relaxants	0.65	C0056732	DB00924
cyclopentolate	3001	S01FA04	Ophthalmologicals	1.05	C0010582	DB00979
cyclophosphamide	3002	L01AA01	Antineoplastic agents	6.69	C0010583	DB00531
cycloserine	3007	J04AB01	Antimycobacterials	8.49	C0010590	DB00260
