drug_name_A	drug_name_B	drug_name_C	drug_name_D	drug_name_E	atleast_exposure_count	exact_exposure_count	estimate_drug_cost_per_day	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
amlodipine	atorvastatin	hydrochlorothiazide	lisinopril	metoprolol	220161	22286	5.38	0.1012	1e-04	62.33	2.499
clopidogrel	hydrocodone	metoprolol	simvastatin	acetaminophen	218642	2263	8.15	0.0104	1e-04	394.908	3.645
montelukast	prednisone	salmeterol	albuterol	fluticasone	216107	9979	15.54	0.0462	1e-04	11858.604	7.556
atenolol	hydrochlorothiazide	lisinopril	metformin	simvastatin	215083	15516	3.2	0.0721	1e-04	91.276	3.098
hydrocodone	lisinopril	metformin	metoprolol	acetaminophen	215067	717	4.83	0.0033	1e-04	121.339	2.763
atorvastatin	hydrochlorothiazide	hydrocodone	metformin	acetaminophen	214051	134	7.3	6e-04	1e-04	84.169	2.528
hydrocodone	salmeterol	acetaminophen	fluticasone	thyroxine	209086	1115	13.28	0.0053	1e-04	445.047	1.584
hydrochlorothiazide	lisinopril	metformin	simvastatin	glyburide	208828	23777	3.64	0.1139	1e-04	324.017	2.174
amlodipine	atorvastatin	hydrochlorothiazide	metformin	valsartan	208557	9012	8.65	0.0432	1e-04	189.55	4.093
atorvastatin	hydrocodone	lisinopril	metformin	acetaminophen	207926	1679	6.72	0.0081	1e-04	113.923	2.594
alprazolam	hydrocodone	acetaminophen	amphetamine	dextroamphetamine	206034	12216	11.28	0.0593	1e-04	6484.684	7.106
hydrochlorothiazide	hydrocodone	metoprolol	triamterene	acetaminophen	203266	3303	4.46	0.0162	1e-04	284.385	2.271
amlodipine	hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	202367	3215	5.01	0.0159	1e-04	272.031	2.172
montelukast	salmeterol	albuterol	fluticasone	tiotropium	201356	6191	21.76	0.0307	1e-04	36389.265	7.601
hydrochlorothiazide	salmeterol	albuterol	fluticasone	ipratropium	198200	1140	17.3	0.0058	1e-04	10110.818	1.404
prednisone	salmeterol	albuterol	fluticasone	ipratropium	198077	3764	16.82	0.019	1e-04	70221.435	9.75
atorvastatin	hydrochlorothiazide	hydrocodone	metoprolol	acetaminophen	197858	670	6.79	0.0034	1e-04	76.893	1.991
amlodipine	hydrochlorothiazide	hydrocodone	losartan	acetaminophen	197474	3992	5.81	0.0202	1e-04	157.962	2.996
salmeterol	albuterol	fluticasone	ipratropium	tiotropium	197303	7785	23.04	0.0395	1e-04	230363.307	19
hydrochlorothiazide	hydrocodone	sulfamethoxazole	trimethoprim	acetaminophen	196177	870	4.84	0.0044	1e-04	2177.605	0.929
clopidogrel	hydrocodone	lisinopril	metoprolol	acetaminophen	196082	1047	7.5	0.0053	1e-04	333.277	3.076
atorvastatin	hydrocodone	lisinopril	metoprolol	acetaminophen	194463	2537	6.21	0.013	1e-04	105.302	2.727
amlodipine	hydrochlorothiazide	hydrocodone	acetaminophen	thyroxine	193564	528	5.13	0.0027	1e-04	47.871	1.385
hydrocodone	lisinopril	simvastatin	acetaminophen	thyroxine	192241	1718	4.23	0.0089	1e-04	49.973	1.462
montelukast	salmeterol	albuterol	fluticasone	thyroxine	191619	6482	15.54	0.0338	1e-04	1988.175	1.267
hydrocodone	metformin	metoprolol	simvastatin	acetaminophen	191467	552	5.48	0.0029	1e-04	114.793	3.037
hydrochlorothiazide	hydrocodone	omeprazole	simvastatin	acetaminophen	190871	380	5.41	0.002	1e-04	76.523	2.098
atorvastatin	clopidogrel	hydrocodone	metoprolol	acetaminophen	190729	2214	9.81	0.0116	1e-04	461.575	4.26
hydrocodone	salmeterol	simvastatin	acetaminophen	fluticasone	190679	772	13.83	0.004	1e-04	457.342	1.628
atenolol	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	190669	4910	4	0.0258	1e-04	99.253	2.245
amlodipine	hydrocodone	metoprolol	simvastatin	acetaminophen	190624	1092	5.52	0.0057	1e-04	108.526	2.454
furosemide	hydrocodone	salmeterol	acetaminophen	fluticasone	189774	206	13.07	0.0011	1e-04	1667.513	5.935
amlodipine	hydrocodone	lisinopril	metoprolol	acetaminophen	189344	1607	4.87	0.0085	1e-04	101.441	2.294
hydrochlorothiazide	hydrocodone	metoprolol	acetaminophen	thyroxine	189148	701	4.58	0.0037	1e-04	48.687	1.583
furosemide	hydrocodone	lisinopril	metoprolol	acetaminophen	188600	901	3.79	0.0048	1e-04	279.235	2.774
hydrochlorothiazide	hydrocodone	metformin	acetaminophen	thyroxine	188011	137	5.09	7e-04	1e-04	48.966	1.561
hydrochlorothiazide	lisinopril	metformin	omeprazole	simvastatin	187841	6987	3.96	0.0372	1e-04	57.774	1.961
hydrochlorothiazide	hydrocodone	losartan	metformin	acetaminophen	187758	1300	5.77	0.0069	1e-04	158.164	3
hydrocodone	lisinopril	salmeterol	acetaminophen	fluticasone	186244	913	13.18	0.0049	1e-04	420.364	1.496
hydrocodone	lisinopril	omeprazole	simvastatin	acetaminophen	185884	1617	4.83	0.0087	1e-04	103.839	2.798
amlodipine	hydrochlorothiazide	metformin	simvastatin	valsartan	185370	7004	6.99	0.0378	1e-04	125.741	2.715
alprazolam	caffeine	hydrocodone	acetaminophen	butalbital	185183	2966	7.73	0.016	1e-04	88975.793	6.045
caffeine	codeine	hydrocodone	acetaminophen	butalbital	184456	2023	8.61	0.011	1e-04	196170.497	5.457
ezetimibe	hydrochlorothiazide	metformin	metoprolol	simvastatin	183728	551	6.89	0.003	1e-04	170.44	2.807
glipizide	hydrocodone	lisinopril	metformin	acetaminophen	183247	1996	4.61	0.0109	1e-04	535.878	3.972
amlodipine	atorvastatin	hydrocodone	metoprolol	acetaminophen	183120	1328	7.18	0.0073	1e-04	139.687	3.159
amlodipine	ezetimibe	hydrochlorothiazide	metformin	simvastatin	182877	358	7.44	0.002	1e-04	163.002	3.129
ezetimibe	hydrocodone	metoprolol	simvastatin	acetaminophen	182030	1481	7.76	0.0081	1e-04	306.702	3.256
hydrochlorothiazide	hydrocodone	losartan	simvastatin	acetaminophen	181550	2846	5.49	0.0157	1e-04	109.55	2.078
hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	fluticasone	180263	1907	7.16	0.0106	1e-04	55.219	1.249
hydrochlorothiazide	hydrocodone	metformin	valsartan	acetaminophen	179553	1127	7.75	0.0063	1e-04	157.33	2.743
furosemide	salmeterol	albuterol	fluticasone	ipratropium	179372	1079	16.61	0.006	1e-04	49635.596	6.892
amlodipine	atorvastatin	hydrochlorothiazide	losartan	metformin	179315	7488	6.67	0.0418	1e-04	156.678	3.964
furosemide	hydrocodone	metoprolol	simvastatin	acetaminophen	179164	487	4.44	0.0027	1e-04	281.887	2.801
amlodipine	hydrochlorothiazide	losartan	metformin	simvastatin	178580	7223	5.01	0.0404	1e-04	116.456	2.946
hydrochlorothiazide	insulin glargine	lisinopril	metformin	simvastatin	178072	5331	10.37	0.0299	1e-04	210.775	2.723
amoxicillin	hydrochlorothiazide	hydrocodone	acetaminophen	clavulanate	176888	887	8.54	0.005	1e-04	473.714	0.869
hydrochlorothiazide	hydrocodone	lisinopril	triamterene	acetaminophen	175199	3249	4.04	0.0185	1e-04	167.182	1.335
hydrochlorothiazide	hydrocodone	simvastatin	valsartan	acetaminophen	175194	2866	7.47	0.0164	1e-04	109.962	1.917
clopidogrel	hydrochlorothiazide	lisinopril	metoprolol	simvastatin	175074	13773	6.35	0.0787	1e-04	117.36	1.636
amlodipine	benazepril	hydrocodone	simvastatin	acetaminophen	174486	3671	6.39	0.021	1e-04	305.431	1.934
amlodipine	hydrocodone	lisinopril	simvastatin	acetaminophen	173962	1543	5.1	0.0089	1e-04	67.55	1.976
clopidogrel	lisinopril	metformin	metoprolol	simvastatin	173946	7516	6.7	0.0432	1e-04	241.027	3.361
alprazolam	hydrocodone	salmeterol	acetaminophen	fluticasone	173945	1298	13.36	0.0075	1e-04	1279.839	4.555
salmeterol	simvastatin	albuterol	fluticasone	ipratropium	173713	2177	17.37	0.0125	1e-04	13121.287	1.822
alprazolam	hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	173505	2283	4.22	0.0132	1e-04	539.722	4.309
prednisone	salmeterol	albuterol	fluticasone	tiotropium	173390	2549	19.08	0.0147	1e-04	50046.462	10.454
amoxicillin	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	173010	8760	5.53	0.0506	1e-04	72.389	1.637
amlodipine	ezetimibe	hydrochlorothiazide	metoprolol	simvastatin	171281	1626	6.93	0.0095	1e-04	150.883	2.824
ezetimibe	hydrocodone	lisinopril	simvastatin	acetaminophen	171085	1742	7.34	0.0102	1e-04	196.608	2.087
amlodipine	atorvastatin	hydrochlorothiazide	metoprolol	valsartan	170896	16719	8.14	0.0978	1e-04	153.507	3.605
amlodipine	hydrochlorothiazide	metformin	metoprolol	valsartan	170213	3904	6.76	0.0229	1e-04	159.301	3.44
hydrocodone	omeprazole	salmeterol	acetaminophen	fluticasone	169211	879	13.88	0.0052	1e-04	774	2.755
hydrochlorothiazide	lisinopril	metformin	simvastatin	acetaminophen	168459	148	4.43	9e-04	1e-04	30.707	1.042
montelukast	salmeterol	simvastatin	albuterol	fluticasone	168168	3079	16.09	0.0183	1e-04	1966.15	1.253
hydrochlorothiazide	hydrocodone	lisinopril	tramadol	acetaminophen	167642	4040	4.91	0.0241	1e-04	177.086	3.146
salmeterol	acetaminophen	albuterol	fluticasone	ipratropium	166451	104	17.89	6e-04	1e-04	14210.327	1.973
hydrochlorothiazide	hydrocodone	losartan	metoprolol	acetaminophen	166146	2604	5.26	0.0157	1e-04	138.323	2.624
amlodipine	hydrochlorothiazide	hydrocodone	omeprazole	acetaminophen	165600	409	5.73	0.0025	1e-04	88.011	2.377
amlodipine	hydrocodone	lisinopril	metformin	acetaminophen	165450	652	5.38	0.0039	1e-04	89.687	2.043
gabapentin	hydrocodone	lisinopril	metformin	acetaminophen	164973	580	5.77	0.0035	1e-04	317.433	3.308
furosemide	hydrocodone	lisinopril	simvastatin	acetaminophen	164772	480	4.02	0.0029	1e-04	176.816	2.814
montelukast	salmeterol	acetaminophen	albuterol	fluticasone	164767	132	16.61	8e-04	1e-04	2177.294	1.387
hydrochlorothiazide	lisinopril	metformin	simvastatin	sitagliptin	164518	12444	9.71	0.0756	1e-04	222.445	1.901
furosemide	hydrocodone	metoprolol	acetaminophen	thyroxine	163673	323	3.89	0.002	1e-04	228.53	2.27
hydrocodone	lisinopril	sulfamethoxazole	trimethoprim	acetaminophen	163329	2014	4.26	0.0123	1e-04	2526.159	1.077
hydrocodone	prednisone	salmeterol	acetaminophen	fluticasone	162929	680	13.28	0.0042	1e-04	1834.121	6.528
hydrochlorothiazide	hydrocodone	triamterene	zolpidem	acetaminophen	162678	1440	5.04	0.0089	1e-04	455.827	3.64
amlodipine	hydrocodone	metformin	simvastatin	acetaminophen	162577	393	6.03	0.0024	1e-04	93.652	2.478
hydrochlorothiazide	hydrocodone	metoprolol	valsartan	acetaminophen	161531	2488	7.24	0.0154	1e-04	139.885	2.439
azithromycin	prednisone	salmeterol	albuterol	fluticasone	160957	12152	16.05	0.0755	1e-04	8107.245	7.048
hydrochlorothiazide	hydrocodone	omeprazole	triamterene	acetaminophen	160286	1473	4.74	0.0092	1e-04	309.972	2.475
glimepiride	hydrochlorothiazide	lisinopril	metformin	simvastatin	160189	16634	3.53	0.1038	1e-04	238.615	2.095
ezetimibe	hydrocodone	metformin	simvastatin	acetaminophen	159509	581	8.27	0.0036	1e-04	271.933	2.887
gabapentin	hydrocodone	lisinopril	simvastatin	acetaminophen	159409	957	5.49	0.006	1e-04	219.715	2.609
gabapentin	hydrochlorothiazide	hydrocodone	metformin	acetaminophen	159325	<100	6.35	 	1e-04	220.017	2.293
amlodipine	hydrochlorothiazide	losartan	metformin	metoprolol	159291	3753	4.78	0.0236	1e-04	143.321	3.626
amlodipine	lisinopril	metformin	metoprolol	simvastatin	159245	4038	4.07	0.0254	1e-04	69.552	2.707
hydrochlorothiazide	hydrocodone	ibuprofen	lisinopril	acetaminophen	158956	7433	4.46	0.0468	1e-04	158.905	3.431
amlodipine	benazepril	hydrocodone	metformin	acetaminophen	158369	1242	6.67	0.0078	1e-04	387.005	2.45
hydrochlorothiazide	hydrocodone	losartan	acetaminophen	thyroxine	158073	2099	4.94	0.0133	1e-04	84.648	1.606
hydrochlorothiazide	hydrocodone	valsartan	acetaminophen	thyroxine	157791	2482	6.92	0.0157	1e-04	87.892	1.532
hydrochlorothiazide	losartan	metformin	metoprolol	simvastatin	157290	6427	4.46	0.0409	1e-04	106.756	3.066
amoxicillin	hydrocodone	acetaminophen	clavulanate	fluticasone	156612	6357	11.06	0.0406	1e-04	961.612	1.764
hydrocodone	metoprolol	simvastatin	acetaminophen	thyroxine	156366	903	4.65	0.0058	1e-04	59.596	1.579
amlodipine	atorvastatin	clopidogrel	hydrochlorothiazide	metoprolol	156344	2247	8.98	0.0144	1e-04	197.817	2.228
hydrocodone	lisinopril	metformin	acetaminophen	thyroxine	156172	677	4.51	0.0043	1e-04	56.674	1.291
clopidogrel	hydrocodone	lisinopril	simvastatin	acetaminophen	156113	923	7.73	0.0059	1e-04	192.316	3.141
atorvastatin	hydrochlorothiazide	lisinopril	metformin	thyroxine	154708	7099	5.02	0.0459	1e-04	29.668	1.306
hydrochlorothiazide	hydrocodone	omeprazole	acetaminophen	thyroxine	154586	315	4.86	0.002	1e-04	55	1.736
hydrocodone	acetaminophen	albuterol	fluticasone	ipratropium	154090	303	12.5	0.002	1e-04	4005.197	5.54
atorvastatin	clopidogrel	lisinopril	metformin	metoprolol	153617	7617	8.36	0.0496	1e-04	285.203	3.271
hydrochlorothiazide	lisinopril	metoprolol	simvastatin	thyroxine	153593	11852	2.85	0.0772	1e-04	21.726	1.27
hydrocodone	metoprolol	salmeterol	acetaminophen	fluticasone	153541	387	13.6	0.0025	1e-04	508.104	1.808
alprazolam	hydrochlorothiazide	hydrocodone	zolpidem	acetaminophen	152962	340	5.24	0.0022	1e-04	272.575	1.232
glipizide	hydrochlorothiazide	hydrocodone	metformin	acetaminophen	152815	123	5.19	8e-04	1e-04	320.722	2.377
amlodipine	furosemide	hydrocodone	metoprolol	acetaminophen	152791	368	4.76	0.0024	1e-04	318.675	3.166
amlodipine	hydrocodone	salmeterol	acetaminophen	fluticasone	152193	390	14.15	0.0026	1e-04	483.904	1.722
hydrocodone	salmeterol	zolpidem	acetaminophen	fluticasone	151569	1024	14.18	0.0068	1e-04	1004.54	3.575
hydrochlorothiazide	hydrocodone	lisinopril	oxycodone	acetaminophen	151135	2960	7.83	0.0196	1e-04	140.139	2.915
hydrocodone	montelukast	acetaminophen	albuterol	fluticasone	149316	466	11.22	0.0031	1e-04	600.738	7.416
furosemide	salmeterol	albuterol	fluticasone	tiotropium	149034	945	18.87	0.0063	1e-04	33576.671	7.014
amlodipine	atorvastatin	hydrochlorothiazide	losartan	metoprolol	148651	13681	6.16	0.092	1e-04	128.368	3.668
hydrocodone	sulfamethoxazole	trimethoprim	acetaminophen	thyroxine	147659	2640	4.36	0.0179	1e-04	2153.749	0.918
amlodipine	atorvastatin	lisinopril	metformin	metoprolol	147608	3336	5.73	0.0226	1e-04	86.381	2.778
atorvastatin	hydrochlorothiazide	hydrocodone	acetaminophen	thyroxine	147448	322	6.47	0.0022	1e-04	36.857	1.603
hydrochlorothiazide	hydrocodone	metformin	omeprazole	acetaminophen	147358	<100	5.69	 	1e-04	82.474	2.424
fenofibrate	hydrochlorothiazide	lisinopril	metformin	simvastatin	147353	6322	5.89	0.0429	1e-04	106.019	2.807
atorvastatin	clopidogrel	hydrochlorothiazide	lisinopril	metoprolol	147297	13439	8.01	0.0912	1e-04	132.298	1.517
hydrochlorothiazide	hydrocodone	metformin	triamterene	acetaminophen	146734	732	4.97	0.005	1e-04	207.719	1.659
hydrocodone	metformin	simvastatin	acetaminophen	thyroxine	146214	581	5.16	0.004	1e-04	56.385	1.492
hydrochlorothiazide	hydrocodone	zolpidem	acetaminophen	thyroxine	145518	295	5.16	0.002	1e-04	75.016	1.578
amlodipine	glipizide	hydrochlorothiazide	lisinopril	metformin	145272	7684	3.78	0.0529	1e-04	222.11	2.142
atorvastatin	hydrochlorothiazide	hydrocodone	valsartan	acetaminophen	144664	2542	9.13	0.0176	1e-04	121.66	2.121
gabapentin	hydrochlorothiazide	hydrocodone	simvastatin	acetaminophen	144588	286	6.07	0.002	1e-04	143.025	1.891
hydrocodone	lisinopril	metformin	omeprazole	acetaminophen	144358	502	5.11	0.0035	1e-04	112.578	2.564
caffeine	hydrocodone	zolpidem	acetaminophen	butalbital	144335	1421	8.55	0.0098	1e-04	62467.736	5.297
atorvastatin	hydrochlorothiazide	lisinopril	metformin	pioglitazone	144170	8347	10.56	0.0579	1e-04	224.713	2.071
hydrochlorothiazide	hydrocodone	metformin	pioglitazone	acetaminophen	143951	<100	10.63	 	1e-04	304.725	2.353
amlodipine	hydrocodone	metformin	metoprolol	acetaminophen	143900	206	5.8	0.0014	1e-04	114.369	2.586
hydrochlorothiazide	hydrocodone	metoprolol	omeprazole	acetaminophen	142797	527	5.18	0.0037	1e-04	78.988	1.862
hydrochlorothiazide	hydrocodone	metformin	acetaminophen	glyburide	142432	115	5.37	8e-04	1e-04	402.152	2.364
amoxicillin	hydrocodone	prednisone	acetaminophen	clavulanate	141923	8221	8.06	0.0579	1e-04	2641.338	4.845
gabapentin	hydrocodone	salmeterol	acetaminophen	fluticasone	141851	491	14.54	0.0035	1e-04	1600.929	5.698
salmeterol	acetaminophen	albuterol	fluticasone	tiotropium	141408	<100	20.15	 	1e-04	9828.909	2.053
gabapentin	hydrochlorothiazide	hydrocodone	acetaminophen	thyroxine	141123	199	5.52	0.0014	1e-04	123.885	1.666
ezetimibe	hydrocodone	simvastatin	acetaminophen	thyroxine	141038	1363	7.44	0.0097	1e-04	152.849	1.623
hydrocodone	lisinopril	metoprolol	acetaminophen	thyroxine	140934	722	4	0.0051	1e-04	50.547	1.367
amoxicillin	hydrocodone	lisinopril	acetaminophen	clavulanate	140778	2337	7.96	0.0166	1e-04	525.315	0.964
alprazolam	hydrochlorothiazide	hydrocodone	acetaminophen	thyroxine	140573	304	4.34	0.0022	1e-04	80.45	1.508
hydrochlorothiazide	hydrocodone	simvastatin	zolpidem	acetaminophen	140321	225	5.71	0.0016	1e-04	81.512	1.811
atorvastatin	glipizide	hydrochlorothiazide	lisinopril	metformin	139489	12665	5.12	0.0908	1e-04	215.557	2.053
amlodipine	hydrochlorothiazide	hydrocodone	zolpidem	acetaminophen	139450	314	6.03	0.0023	1e-04	107.385	2.176
furosemide	hydrocodone	simvastatin	acetaminophen	thyroxine	139437	241	4.12	0.0017	1e-04	141.109	2.348
amlodipine	clopidogrel	hydrocodone	metoprolol	acetaminophen	138752	279	8.47	0.002	1e-04	332.222	3.066
atorvastatin	hydrocodone	salmeterol	acetaminophen	fluticasone	138589	546	15.49	0.0039	1e-04	445.38	1.585
ezetimibe	hydrochlorothiazide	metformin	pioglitazone	simvastatin	138435	285	12.11	0.0021	1e-04	671.391	1.805
atorvastatin	hydrocodone	metformin	metoprolol	acetaminophen	138339	389	7.14	0.0028	1e-04	111.13	2.878
amlodipine	atorvastatin	hydrocodone	metformin	acetaminophen	138319	353	7.69	0.0026	1e-04	106.759	3.03
furosemide	hydrocodone	metoprolol	warfarin	acetaminophen	137955	563	4	0.0041	1e-04	1123.027	4.997
hydrocodone	metoprolol	omeprazole	simvastatin	acetaminophen	137918	884	5.25	0.0064	1e-04	112.96	2.662
amlodipine	clopidogrel	hydrochlorothiazide	metoprolol	simvastatin	137494	1280	7.32	0.0093	1e-04	129.838	2.18
amoxicillin	hydrocodone	acetaminophen	clavulanate	thyroxine	137030	3942	8.06	0.0288	1e-04	482.212	0.885
amlodipine	hydrocodone	metoprolol	acetaminophen	thyroxine	136941	517	4.97	0.0038	1e-04	69.188	1.565
amlodipine	atorvastatin	hydrochlorothiazide	metformin	thyroxine	136437	492	5.99	0.0036	1e-04	36.858	1.288
amlodipine	gabapentin	hydrochlorothiazide	hydrocodone	acetaminophen	136363	246	6.39	0.0018	1e-04	178.814	2.205
esomeprazole	hydrocodone	salmeterol	acetaminophen	fluticasone	136290	722	18.76	0.0053	1e-04	1058.238	3.766
furosemide	hydrocodone	lisinopril	metformin	acetaminophen	136176	233	4.3	0.0017	1e-04	204.001	3.226
glipizide	lisinopril	metformin	pioglitazone	simvastatin	135560	17985	8.52	0.1327	1e-04	1669.839	3.329
amlodipine	hydrochlorothiazide	metformin	simvastatin	thyroxine	134938	467	4.33	0.0035	1e-04	27.206	1.256
oxycodone	salmeterol	acetaminophen	albuterol	fluticasone	134719	1823	17.6	0.0135	1e-04	2839.468	10.389
ezetimibe	hydrochlorothiazide	lisinopril	metoprolol	simvastatin	133964	16552	5.96	0.1236	1e-04	83.772	1.814
furosemide	hydrocodone	lisinopril	acetaminophen	thyroxine	133552	353	3.47	0.0026	1e-04	127.184	2.024
atorvastatin	furosemide	hydrocodone	metoprolol	acetaminophen	133398	392	6.1	0.0029	1e-04	281.214	2.794
clopidogrel	furosemide	hydrocodone	metoprolol	acetaminophen	133358	184	7.39	0.0014	1e-04	882.421	5.809
alprazolam	hydrocodone	zolpidem	acetaminophen	thyroxine	132853	1329	4.76	0.01	1e-04	311.084	1.406
hydrochlorothiazide	hydrocodone	metformin	sitagliptin	acetaminophen	132737	<100	11.44	 	1e-04	326.592	2.238
hydrochlorothiazide	metformin	metoprolol	simvastatin	thyroxine	131942	633	3.78	0.0048	1e-04	27.687	1.426
clopidogrel	hydrochlorothiazide	metformin	metoprolol	simvastatin	130829	313	7.28	0.0024	1e-04	130.104	2.072
amlodipine	atorvastatin	benazepril	hydrochlorothiazide	metformin	130809	7564	7.18	0.0578	1e-04	168.918	2.039
